route_band,cabin,pax_count,region,origin_region,total_duration,booking_month,stop_type,airline,total_legs,booking_dayofweek,lead_time_days,loyalty_members,destination,origin_city,city,home_region,booking_year,trip_type,payment_method,origin,nationality,airline_name,gender
1,1,6,6,4,610,3,1,35,2,0,44,0,76,6,74,4,2018,2,1,5,5,8,1
1,0,3,8,5,293,3,1,37,1,0,6,0,43,41,37,8,2025,1,3,46,31,35,0
1,1,5,8,5,545,9,0,8,2,3,103,1,22,41,22,8,2024,2,3,46,29,9,1
0,1,2,1,0,701,4,1,48,2,1,127,1,63,56,18,1,2016,2,0,60,20,50,1
3,0,1,1,5,664,3,1,27,1,0,34,1,36,41,79,5,2022,1,1,46,9,30,1
0,0,2,4,8,591,9,0,49,1,1,88,0,69,30,33,8,2016,1,4,35,14,53,0
2,0,3,5,5,80,3,0,40,1,2,57,2,26,41,23,5,2021,1,4,46,9,39,1
0,1,6,8,3,714,11,1,37,2,3,101,2,22,66,22,8,2019,2,3,37,34,35,1
0,0,2,7,5,367,9,1,17,1,6,88,0,32,41,26,5,2022,1,0,46,22,19,0
0,1,1,0,5,486,1,0,13,1,4,49,0,44,20,38,5,2022,1,1,25,20,16,0
1,3,3,6,5,117,9,1,30,1,1,49,1,77,41,75,6,2025,1,1,46,8,33,1
0,2,1,5,0,407,3,1,15,1,3,68,0,6,16,0,5,2019,1,5,21,10,18,0
0,1,2,5,0,2012,10,1,26,3,1,9,0,55,21,50,0,2022,0,0,23,9,28,0
0,1,1,8,3,358,7,1,9,1,0,61,1,73,76,70,3,2020,1,5,62,25,14,0
1,3,4,8,5,203,6,1,27,1,0,27,0,73,41,70,5,2023,1,3,46,31,30,1
1,1,2,8,5,728,7,0,18,3,3,24,0,35,35,30,5,2017,0,1,40,28,1,1
3,0,5,3,5,912,9,0,9,2,5,58,2,64,41,11,3,2020,2,3,46,7,14,1
1,1,4,8,5,298,11,1,49,1,6,72,0,58,0,53,8,2019,1,2,6,2,53,0
0,0,2,0,3,728,11,1,34,2,6,39,0,23,11,21,3,2023,2,3,64,7,0,1
0,3,2,4,5,471,11,1,27,1,5,52,0,81,41,81,5,2024,1,4,46,30,30,1
3,1,1,1,5,683,12,0,54,1,3,32,0,47,41,45,5,2023,1,5,46,30,34,1
3,3,2,5,2,770,3,1,23,1,1,60,0,54,51,55,2,2024,1,2,56,31,26,0
1,1,1,6,5,198,2,1,27,1,5,59,0,28,41,80,5,2022,1,3,46,35,30,0
3,0,1,3,5,432,11,0,34,1,2,26,0,78,41,73,3,2025,1,1,46,30,0,0
1,1,2,6,5,243,9,1,41,2,6,47,0,15,41,10,6,2017,2,5,46,9,40,0
0,3,4,4,3,776,10,1,24,2,1,26,1,5,66,6,3,2019,2,1,37,13,29,0
0,1,3,4,5,902,9,1,17,2,1,21,1,29,68,64,5,2019,2,5,71,9,19,0
0,1,5,4,5,746,8,0,27,2,3,3,1,59,41,52,5,2023,2,5,46,31,30,0
0,1,2,4,5,401,6,1,53,1,5,59,0,79,41,78,4,2023,1,5,46,33,54,0
1,1,1,8,5,530,10,1,13,2,1,7,0,73,47,70,5,2024,2,1,7,30,16,1
1,1,1,6,5,246,4,1,20,1,6,51,1,10,41,7,5,2018,1,1,46,31,21,1
1,0,2,6,5,219,5,0,27,1,3,52,0,3,41,4,5,2022,1,1,46,28,30,1
0,0,2,7,1,823,7,0,48,2,5,79,0,45,18,40,1,2019,0,1,63,0,50,0
0,1,1,7,5,711,1,1,20,2,1,45,0,72,41,71,5,2020,2,3,46,22,21,1
0,1,2,4,5,810,11,1,15,2,5,84,1,4,41,5,5,2017,0,5,46,30,18,0
2,1,3,5,5,103,1,1,27,1,6,45,0,68,41,63,5,2018,1,5,46,28,30,1
0,1,2,7,4,323,11,1,6,1,0,37,1,32,25,26,4,2018,1,2,30,36,22,0
0,3,3,4,5,477,4,1,27,2,6,16,1,59,41,52,5,2022,0,0,46,22,30,1
1,0,5,8,5,515,7,1,37,2,6,68,1,14,41,54,8,2025,2,3,46,31,35,0
0,1,1,4,5,356,5,1,13,1,4,29,0,69,41,33,5,2015,1,1,46,28,16,0
0,0,2,7,6,792,11,1,41,3,6,29,0,32,7,26,6,2024,0,3,10,15,40,0
0,1,1,2,8,424,4,1,4,1,3,46,0,65,13,61,8,2024,1,0,12,14,5,0
0,2,2,2,8,275,4,1,13,1,3,131,1,65,31,61,5,2017,1,1,38,29,16,1
1,0,3,6,5,242,1,1,55,1,5,31,0,16,41,15,5,2024,1,4,46,35,55,1
3,0,5,3,5,505,12,1,27,1,1,32,0,33,41,28,5,2019,1,4,46,30,30,0
0,3,2,0,5,702,3,1,54,2,3,63,1,2,55,3,5,2025,0,1,54,2,34,0
0,1,2,5,4,405,6,0,55,1,1,18,0,54,46,55,5,2018,1,1,52,2,55,1
0,3,2,4,5,739,4,1,27,2,6,39,0,49,20,44,5,2015,2,3,25,28,30,0
3,0,2,2,5,817,10,0,45,1,3,19,2,75,41,72,5,2021,1,0,46,2,42,0
3,3,4,3,5,884,2,1,45,2,2,56,2,64,41,11,5,2025,2,5,46,2,42,0
3,1,3,1,5,1314,6,0,15,3,5,3,0,47,41,45,5,2020,0,1,46,31,18,0
0,1,6,7,5,744,2,1,27,2,4,47,1,32,41,26,5,2022,2,1,46,15,30,0
2,1,3,5,5,204,6,1,13,2,0,23,0,54,41,55,5,2020,2,2,46,22,16,0
0,3,5,7,5,687,10,0,5,2,6,31,2,72,41,71,7,2022,0,1,46,2,6,0
2,3,3,5,5,114,12,1,18,1,4,35,0,6,41,0,5,2021,1,5,46,28,1,0
1,1,6,8,5,510,2,0,45,2,0,45,2,51,41,17,5,2024,2,0,46,28,42,0
3,3,1,3,5,1112,7,1,13,2,1,102,1,62,41,76,5,2024,2,5,46,30,16,0
0,0,4,0,4,318,8,1,26,1,5,43,1,60,25,56,0,2024,1,1,30,33,28,0
0,1,3,4,5,922,2,1,27,2,3,12,0,79,41,78,5,2024,2,2,46,12,30,0
2,0,1,5,5,546,2,1,45,2,2,69,0,40,41,35,5,2019,0,0,46,22,42,0
0,1,3,4,5,394,2,1,22,1,1,29,1,39,41,32,4,2018,1,3,46,2,23,1
0,3,3,4,5,484,12,1,27,1,6,12,1,81,41,81,5,2023,1,5,46,28,30,0
1,1,3,6,5,110,6,1,45,1,6,17,0,9,63,12,5,2025,1,4,68,28,42,0
0,1,2,4,5,795,12,1,20,2,3,39,0,69,41,33,5,2023,2,5,46,9,21,0
1,1,1,5,6,638,3,0,55,2,1,58,0,6,80,0,5,2024,0,5,28,28,55,1
1,1,5,8,5,274,1,0,27,1,3,4,0,73,41,70,5,2022,1,1,46,28,30,1
0,0,2,7,5,800,8,1,54,2,3,28,0,45,68,40,5,2018,0,0,71,30,34,0
1,1,2,8,5,518,2,0,27,2,2,46,0,51,41,17,5,2021,2,3,46,9,30,0
0,0,4,4,5,303,6,0,27,1,1,36,2,59,41,52,5,2021,1,5,46,31,30,0
0,1,3,7,5,760,7,0,15,2,6,29,0,11,41,8,5,2024,2,0,46,9,18,0
2,1,4,5,5,209,5,1,27,2,2,52,0,54,41,55,5,2023,2,2,46,30,30,0
1,0,3,8,5,236,4,0,45,1,0,45,0,35,20,30,5,2016,1,1,25,34,42,1
1,0,4,8,5,479,3,1,27,2,4,26,1,66,41,62,5,2018,2,5,46,2,30,1
0,2,1,4,5,1301,10,0,27,3,2,3,0,52,41,46,5,2025,0,3,46,31,30,1
0,1,1,8,4,567,10,0,35,1,5,52,0,14,60,54,4,2024,1,0,18,5,8,0
0,0,2,4,5,921,4,1,27,2,5,106,0,69,41,33,5,2019,2,1,46,22,30,0
1,1,4,8,5,188,2,1,0,1,0,52,2,20,41,19,8,2018,1,4,46,14,24,0
1,1,3,8,5,773,3,0,8,2,0,97,0,48,41,43,8,2017,0,5,46,31,9,1
1,3,3,6,5,134,10,1,27,1,4,82,1,10,41,7,5,2025,1,5,46,31,30,0
3,0,1,3,5,428,11,1,34,1,2,52,0,64,68,11,3,2021,1,4,71,18,0,1
1,1,2,8,5,232,7,1,37,1,2,51,0,73,41,70,8,2022,1,1,46,9,35,0
0,1,5,7,5,835,8,1,17,2,1,88,0,72,41,71,5,2015,2,5,46,22,19,1
0,2,4,7,4,679,8,1,20,2,0,31,2,45,46,40,5,2018,2,0,52,15,21,1
1,1,1,8,5,406,8,1,27,2,1,84,0,73,41,70,5,2016,2,3,46,31,30,1
1,1,6,8,5,511,2,0,20,2,5,11,2,12,41,13,5,2022,2,3,46,9,21,1
0,1,1,7,6,854,9,0,21,2,2,14,0,57,74,49,6,2023,2,3,76,16,25,1
0,1,1,7,0,816,12,1,42,2,1,40,0,11,36,8,0,2016,2,3,42,10,44,0
0,1,2,4,5,469,2,1,27,1,0,75,2,18,41,60,5,2016,1,3,46,12,30,0
2,1,3,5,5,76,11,1,45,1,2,21,1,25,41,20,5,2025,1,1,46,28,42,1
0,0,3,4,5,724,12,0,17,2,3,24,1,81,41,81,5,2018,2,4,46,2,19,0
1,1,6,8,5,207,11,0,37,1,2,29,4,20,41,19,8,2022,1,3,46,30,35,1
1,0,2,6,5,230,7,1,17,1,3,9,0,77,41,75,5,2024,1,4,46,16,19,1
0,0,2,4,5,482,7,1,20,1,3,53,1,79,41,78,5,2016,1,3,46,33,21,0
1,1,5,6,5,243,4,1,21,1,6,39,2,15,41,10,6,2025,1,5,46,2,25,0
0,1,1,2,4,1060,12,1,3,2,0,22,1,75,33,72,4,2022,0,1,69,1,4,1
0,0,3,0,5,790,10,1,15,2,0,76,0,60,41,56,5,2017,2,1,46,28,18,1
0,3,3,5,4,957,6,1,13,2,5,34,0,27,64,24,5,2023,2,5,29,12,16,0
0,0,3,7,5,627,2,1,27,2,3,17,0,11,41,8,5,2025,2,2,46,31,30,1
1,1,4,8,5,471,11,0,40,2,4,8,0,24,20,58,5,2019,2,3,25,30,39,1
3,1,1,1,5,889,11,1,13,1,2,43,0,63,20,18,5,2021,1,0,25,28,16,0
3,1,2,3,5,424,4,1,10,1,5,59,1,62,47,76,3,2018,1,1,7,2,3,1
0,1,2,5,4,863,1,0,6,3,0,43,1,71,81,68,4,2018,0,1,81,33,22,1
1,0,2,4,6,570,11,1,30,2,3,25,1,59,80,52,6,2015,2,1,28,12,33,0
0,1,2,7,5,769,3,1,55,2,3,15,0,32,41,26,5,2018,2,1,46,28,55,1
1,1,4,6,5,124,12,0,32,1,6,73,0,77,41,75,6,2024,1,4,46,8,15,0
3,1,2,1,5,1353,3,1,27,3,6,8,0,31,41,65,5,2022,0,3,46,22,30,1
0,1,2,4,5,825,7,1,27,2,2,9,1,59,41,52,5,2020,2,1,46,5,30,0
0,1,1,7,5,412,10,0,19,1,5,49,0,19,0,34,7,2024,1,0,6,28,20,1
1,1,1,8,5,449,4,1,0,2,6,3,0,24,41,58,8,2019,2,1,46,25,24,1
1,1,2,8,5,484,5,1,17,2,4,18,0,12,41,13,5,2025,2,3,46,29,19,0
3,1,3,3,5,776,12,0,13,2,5,18,1,67,41,67,5,2023,0,2,46,21,16,1
1,0,1,8,5,869,11,1,18,3,0,1,1,35,41,30,5,2022,0,3,46,34,1,0
1,2,4,8,5,307,5,0,45,1,2,15,2,22,41,22,5,2023,1,0,46,30,42,1
0,1,2,4,5,884,6,1,18,2,1,68,0,49,41,44,5,2024,2,5,46,28,1,0
3,1,3,1,5,830,9,1,17,1,6,66,1,36,41,79,5,2022,1,3,46,28,19,0
1,1,1,8,5,465,5,1,37,2,1,54,0,43,41,37,8,2017,2,3,46,30,35,0
1,2,3,8,5,426,7,0,27,2,3,78,0,20,41,19,5,2023,2,5,46,28,30,0
1,1,1,6,5,442,10,1,45,2,0,1,0,16,41,15,5,2021,0,1,46,19,42,0
0,1,1,4,5,710,2,1,45,2,6,15,0,39,41,32,5,2025,2,5,46,9,42,1
0,2,1,7,5,632,12,0,27,2,4,68,1,11,41,8,5,2021,2,4,46,9,30,0
1,0,2,8,5,483,6,1,18,2,1,93,2,20,41,19,5,2025,2,3,46,28,1,1
0,3,1,4,5,1323,12,1,28,3,2,49,1,79,41,78,4,2016,0,5,46,22,31,1
1,0,1,6,5,399,10,1,36,2,2,13,0,61,41,57,6,2025,2,1,46,19,36,1
1,1,2,8,5,195,2,1,27,1,2,4,1,48,41,43,5,2023,1,5,46,22,30,1
0,1,1,8,0,341,11,1,37,1,0,21,0,66,21,62,8,2016,1,5,23,25,35,1
3,1,2,1,5,1431,4,1,48,2,1,43,1,63,41,18,1,2017,2,4,46,22,50,1
0,1,2,0,6,333,6,1,21,1,3,1,0,42,57,36,6,2017,1,3,61,23,25,0
1,1,4,8,5,563,2,0,18,2,3,47,1,58,41,53,5,2024,2,3,46,9,1,0
1,1,3,6,5,188,1,1,40,1,4,43,2,77,23,75,5,2023,1,2,26,2,39,0
0,1,1,7,5,747,8,1,20,2,5,50,0,70,23,27,5,2023,0,1,26,30,21,1
1,1,2,8,5,506,1,1,20,2,5,29,0,66,41,62,5,2023,2,1,46,29,21,0
2,1,1,5,5,88,1,0,27,1,6,20,1,7,41,47,5,2015,1,0,46,28,30,1
3,1,1,2,5,774,12,1,18,1,6,49,1,1,41,2,5,2022,1,1,46,22,1,1
3,0,3,3,5,511,9,0,34,1,0,97,1,62,47,76,3,2022,1,5,7,31,0,1
1,1,6,8,5,192,12,0,27,1,0,52,1,22,41,22,5,2021,1,1,46,34,30,0
3,1,1,3,5,536,3,1,45,1,2,32,0,62,41,76,5,2021,1,5,46,9,42,0
1,1,2,8,5,512,5,1,50,2,3,25,2,20,0,19,8,2016,2,5,6,9,46,0
1,1,1,6,5,246,3,0,18,2,4,100,0,3,41,4,5,2017,2,2,46,22,1,0
0,1,3,4,5,911,6,1,35,2,6,90,1,79,50,78,4,2019,2,3,55,2,8,0
1,1,6,6,5,709,10,1,17,3,6,61,3,74,35,69,5,2016,0,3,40,16,19,0
1,1,2,8,5,863,3,1,37,3,1,16,0,38,41,31,8,2025,0,3,46,2,35,0
1,2,4,8,5,461,2,1,37,2,3,38,2,43,41,37,8,2021,2,0,46,25,35,0
1,3,4,8,5,379,12,1,27,2,3,63,0,14,41,54,5,2022,2,2,46,22,30,1
2,3,4,5,5,238,4,1,27,2,6,58,1,7,41,47,5,2020,2,1,46,30,30,0
0,0,2,4,5,922,10,1,15,2,3,11,1,5,41,6,5,2023,2,5,46,22,18,0
1,1,3,8,5,279,9,1,15,1,4,10,1,22,41,22,5,2023,1,1,46,22,18,1
3,0,2,2,5,1588,10,1,13,3,2,69,2,1,47,2,5,2019,0,0,7,9,16,0
1,1,6,8,5,408,8,1,37,2,2,13,1,66,41,62,8,2025,2,5,46,3,35,1
0,1,3,4,5,315,9,1,20,1,6,7,0,53,0,48,5,2021,1,1,6,12,21,0
1,1,2,6,5,245,12,1,27,2,0,117,2,16,41,15,5,2016,2,0,46,31,30,1
0,3,4,4,5,759,7,1,13,2,5,66,2,29,41,64,5,2024,2,1,46,5,16,1
0,3,3,7,5,372,5,1,27,1,5,26,1,32,41,26,5,2025,1,2,46,22,30,1
1,3,4,8,5,827,11,1,18,3,2,53,2,35,0,30,5,2025,0,2,6,3,1,0
0,1,2,4,5,910,11,1,29,2,3,52,0,69,41,33,4,2018,2,2,46,5,47,0
0,1,6,5,4,863,7,0,15,2,4,98,2,68,52,63,5,2015,2,1,59,37,18,0
0,1,3,4,0,453,6,0,29,1,5,5,1,81,21,81,4,2015,1,1,23,32,47,1
2,1,3,5,5,173,2,0,27,2,6,10,0,54,41,55,5,2016,2,2,46,2,30,1
0,1,2,4,5,877,4,0,15,2,4,91,0,39,20,32,5,2015,2,1,25,31,18,0
0,1,2,4,3,279,8,0,34,1,3,66,0,30,76,25,3,2018,1,3,62,13,0,1
1,0,2,8,5,249,8,0,0,1,2,16,0,66,41,62,8,2019,1,3,46,28,24,0
0,0,2,0,5,446,8,1,45,1,3,35,0,23,50,21,5,2017,1,1,55,9,42,0
0,0,3,4,3,925,9,1,45,2,3,3,2,18,11,60,5,2024,2,1,64,17,42,0
3,1,4,1,5,658,7,1,20,1,2,84,1,80,41,77,5,2016,1,5,46,22,21,1
2,1,4,5,5,249,4,0,27,2,4,25,0,25,41,20,5,2018,2,2,46,31,30,0
1,1,2,8,5,499,3,0,55,2,6,36,0,58,41,53,5,2022,2,2,46,3,55,0
0,1,1,4,5,678,3,1,27,2,4,49,1,81,41,81,5,2025,2,3,46,2,30,1
1,2,2,6,5,156,3,1,40,1,0,96,1,61,41,57,5,2024,1,2,46,16,39,1
3,1,2,3,5,1071,10,1,45,2,0,41,1,78,41,73,5,2018,2,5,46,28,42,1
3,1,2,3,5,889,8,1,45,2,6,23,1,37,23,66,5,2024,0,2,26,2,42,0
0,1,3,4,5,908,10,1,53,2,0,62,0,81,41,81,4,2022,2,2,46,31,54,1
1,1,2,6,5,192,3,0,13,1,5,25,2,74,41,69,5,2016,1,1,46,2,16,1
1,1,3,6,5,483,7,1,18,2,6,67,2,77,41,75,5,2019,0,3,46,22,1,1
1,1,2,8,5,217,12,1,49,1,1,65,0,48,41,43,8,2021,1,4,46,22,53,1
0,1,1,4,8,924,9,0,37,2,3,67,1,79,37,78,8,2025,2,1,43,17,35,1
1,3,2,8,5,579,8,0,43,2,3,10,1,17,41,39,8,2017,2,3,46,30,45,0
1,1,4,8,5,407,3,0,17,2,6,12,0,24,55,58,5,2016,2,1,54,29,19,0
0,1,1,7,5,704,11,1,52,2,4,55,0,70,41,27,7,2020,2,5,46,36,51,1
0,1,3,7,1,464,12,1,52,1,3,14,1,32,79,26,7,2025,1,0,36,15,51,0
1,1,1,8,5,248,7,0,13,1,3,9,1,14,63,54,5,2019,1,1,68,25,16,0
2,1,2,5,5,71,7,1,45,1,2,45,0,71,63,68,5,2019,1,1,68,9,42,0
1,0,2,6,5,236,10,1,55,1,1,70,1,16,35,15,5,2016,1,0,40,16,55,1
3,1,5,3,5,427,1,1,27,1,5,41,1,62,35,76,5,2023,1,0,40,22,30,1
1,1,5,8,5,444,9,1,4,2,2,67,3,22,41,22,8,2025,2,3,46,25,5,1
2,1,5,5,5,180,12,1,27,2,0,20,0,40,41,35,5,2022,2,5,46,30,30,0
0,1,2,0,7,694,2,0,27,2,1,73,0,0,49,1,5,2019,2,1,57,36,30,1
1,0,3,6,5,331,11,1,27,2,5,65,2,10,41,7,5,2022,2,3,46,22,30,1
1,1,4,8,5,969,1,1,15,3,3,60,2,24,0,58,5,2017,0,1,6,30,18,1
0,2,2,7,1,1102,1,1,12,3,6,26,0,70,65,27,1,2016,0,1,31,6,13,1
0,1,1,0,1,807,6,1,1,2,0,33,0,50,59,42,1,2022,2,5,41,0,7,0
0,1,3,0,5,339,4,0,27,1,4,80,1,23,41,21,5,2016,1,1,46,30,30,1
0,3,1,1,4,738,5,1,7,2,3,47,0,31,64,65,4,2025,0,1,29,13,10,0
0,3,2,8,2,683,11,1,51,2,2,13,0,51,72,17,2,2024,2,5,75,14,52,0
0,1,2,8,4,849,11,1,28,2,2,52,1,38,25,31,4,2022,2,1,30,3,31,1
0,1,5,4,5,680,7,0,17,2,1,4,1,69,20,33,5,2025,2,0,25,12,19,1
1,3,2,8,5,483,9,1,37,2,5,52,0,58,50,53,8,2018,2,0,55,3,35,1
1,1,3,8,5,575,1,0,50,2,2,38,2,48,20,43,8,2019,2,0,25,3,46,0
1,3,3,6,5,636,12,0,55,2,1,30,0,10,41,7,5,2024,0,1,46,16,55,0
0,0,2,4,0,808,6,1,42,2,3,66,1,18,36,60,0,2024,2,2,42,27,44,1
1,2,1,5,8,289,6,1,54,1,0,72,0,54,43,55,5,2019,1,1,48,3,34,0
2,1,1,8,8,137,12,1,43,1,3,28,0,17,13,39,8,2024,1,3,12,14,45,0
0,3,5,3,2,821,9,1,9,2,3,48,2,78,14,73,3,2025,2,2,13,26,14,0
0,2,1,4,5,816,11,1,35,2,3,39,1,49,41,44,4,2018,2,3,46,2,8,0
1,0,3,6,5,235,8,0,27,1,1,74,1,74,41,69,5,2024,1,3,46,23,30,0
0,1,2,4,5,929,10,1,53,2,2,28,1,49,41,44,4,2017,2,0,46,9,54,0
0,0,2,7,5,342,10,1,38,1,4,35,0,57,0,49,7,2019,1,1,6,2,37,0
0,1,1,4,1,766,3,1,47,2,3,52,1,5,79,6,4,2023,0,2,36,6,49,0
1,1,1,8,5,262,2,1,0,1,0,10,0,14,41,54,8,2018,1,4,46,2,24,0
1,1,2,8,5,517,11,1,27,2,0,46,0,20,41,19,5,2024,2,1,46,30,30,1
0,1,2,0,5,791,8,0,27,2,3,101,0,44,41,38,5,2024,2,4,46,30,30,1
1,1,1,8,5,199,5,1,27,1,4,20,1,66,41,62,5,2021,1,0,46,31,30,0
1,0,1,8,5,306,7,1,17,1,0,73,0,17,24,39,5,2019,1,2,27,9,19,0
0,1,3,4,1,847,11,1,48,2,6,17,1,30,79,25,1,2024,2,1,36,37,50,0
0,1,2,8,6,592,12,1,4,3,1,95,0,12,57,13,8,2023,0,0,61,16,5,0
0,1,4,3,8,276,11,1,8,1,2,93,0,37,22,66,8,2024,1,1,22,29,9,1
2,0,1,5,5,152,2,1,45,2,6,49,0,7,20,47,5,2020,2,3,25,22,42,1
1,1,3,5,8,428,7,1,54,2,3,32,0,71,19,68,5,2018,2,5,20,22,34,0
1,1,5,8,5,236,6,1,27,1,5,77,0,58,41,53,5,2024,1,5,46,29,30,0
2,1,2,5,5,100,4,1,40,1,1,16,1,27,23,24,5,2018,1,4,26,2,39,1
0,1,6,4,5,360,11,1,27,1,1,46,0,69,41,33,5,2024,1,3,46,17,30,1
1,1,2,6,5,350,3,1,55,2,6,93,0,74,41,69,5,2023,2,3,46,2,55,0
1,1,2,8,5,183,2,1,49,1,0,68,2,24,41,58,8,2023,1,1,46,30,53,0
1,1,2,6,5,190,4,1,17,1,0,60,0,76,41,74,5,2018,1,1,46,28,19,1
3,0,3,1,5,1540,6,0,2,2,0,25,2,63,41,18,1,2022,2,3,46,30,2,0
3,1,1,3,5,541,5,0,34,1,6,53,1,62,41,76,3,2018,1,1,46,18,0,0
1,1,2,8,5,224,4,1,15,1,0,39,1,22,41,22,5,2023,1,3,46,28,18,0
0,1,2,0,6,682,7,0,32,2,0,88,0,42,69,36,6,2021,2,1,74,19,15,1
0,1,1,7,4,405,7,0,44,1,5,78,1,19,64,34,7,2024,1,3,29,33,43,1
0,1,3,4,5,395,2,1,29,1,4,55,0,81,41,81,4,2017,1,3,46,30,47,0
3,2,1,3,5,474,6,0,13,1,1,72,0,78,41,73,5,2015,1,3,46,22,16,0
1,0,3,8,5,197,1,1,0,1,1,30,1,24,47,58,8,2019,1,1,7,2,24,1
0,1,2,7,5,694,11,0,54,2,4,62,0,11,41,8,5,2022,2,4,46,36,34,1
1,1,3,8,5,560,5,1,27,2,1,63,1,51,41,17,5,2024,2,1,46,31,30,1
0,1,6,4,5,385,4,0,7,1,4,19,2,69,41,33,4,2024,1,1,46,2,10,0
2,1,3,5,5,109,1,1,54,1,6,79,2,7,41,47,5,2015,1,5,46,31,34,0
1,1,3,8,5,585,1,1,40,2,5,90,0,20,23,19,5,2022,2,5,26,31,39,0
1,0,1,8,5,531,2,1,37,2,2,9,0,66,41,62,8,2025,2,4,46,28,35,0
0,0,3,0,5,492,4,1,27,1,5,15,1,21,41,16,5,2022,1,5,46,2,30,1
0,1,3,7,5,1158,1,1,38,3,5,29,1,57,41,49,7,2022,0,4,46,28,37,1
1,3,5,6,5,381,7,0,20,2,5,81,1,15,41,10,5,2023,2,5,46,30,21,0
1,0,5,8,5,856,1,1,27,3,1,13,2,20,41,19,5,2024,0,5,46,2,30,1
0,1,2,3,4,641,4,1,9,2,1,9,2,62,60,76,3,2023,2,3,18,17,14,1
2,1,2,5,5,142,4,1,27,2,2,58,1,26,41,23,5,2025,2,5,46,30,30,0
0,1,3,7,6,668,3,1,46,2,3,34,2,11,4,8,7,2023,2,3,3,19,48,1
0,3,3,7,8,373,11,1,46,1,4,98,0,70,62,27,7,2023,1,5,66,29,48,1
0,0,2,7,5,652,3,0,46,2,1,9,1,11,41,8,7,2023,0,0,46,28,48,1
1,2,2,8,5,485,6,1,27,2,4,28,0,12,41,13,5,2022,2,5,46,9,30,1
1,1,3,6,5,409,5,0,27,2,1,29,1,10,41,7,5,2018,2,3,46,23,30,1
0,1,1,6,6,322,5,1,27,1,3,12,0,9,75,12,5,2024,1,1,77,23,30,0
0,1,2,4,7,821,6,0,5,2,1,70,1,30,40,25,7,2017,2,3,45,37,6,0
1,1,5,8,5,796,4,1,54,2,1,24,1,43,41,37,5,2025,0,2,46,14,34,1
0,0,2,4,5,301,9,1,27,1,2,29,1,5,41,6,5,2021,1,3,46,13,30,1
0,1,1,0,5,836,4,0,27,2,2,31,0,21,41,16,5,2019,2,3,46,28,30,0
1,1,1,6,5,202,7,1,27,1,0,82,0,74,41,69,5,2015,1,4,46,2,30,0
0,1,3,4,5,421,2,1,17,1,5,69,1,29,24,64,5,2025,1,0,27,17,19,1
1,1,1,8,5,289,10,1,8,1,5,50,0,38,41,31,8,2018,1,3,46,34,9,0
0,1,2,4,5,882,6,1,18,2,3,59,0,29,41,64,5,2025,2,1,46,30,1,0
0,3,3,4,5,388,4,1,18,1,4,46,0,81,24,81,5,2019,1,1,27,22,1,0
3,1,1,2,5,1704,8,1,27,2,6,41,0,13,41,14,5,2022,2,3,46,1,30,0
0,1,1,4,5,819,9,1,27,2,3,35,1,53,41,48,5,2015,2,1,46,9,30,1
