segment_id,booking_id,leg_no,dep_airport,arr_airport,dep_city,arr_city,dep_date,flight_duration_min,stop_type
S-000037-01,BK-000037,1,JED,HYD,Jeddah,Hyderabad,2017-08-02,258,Connection
S-000037-02,BK-000037,2,HYD,LHE,Hyderabad,Lahore,2017-08-07,137,Direct
S-000037-03,BK-000037,3,LHE,CAI,Lahore,Cairo,2017-08-13,333,Connection
S-000038-01,BK-000038,1,KWI,PEK,Kuwait City,Beijing,2020-11-26,463,Connection
S-000038-02,BK-000038,2,PEK,KWI,Beijing,Kuwait City,2020-12-19,449,Direct
S-000039-01,BK-000039,1,AUH,MUX,Abu Dhabi,Multan,2020-02-07,298,Direct
S-000040-01,BK-000040,1,PEK,DAR,Beijing,Dar es Salaam,2023-12-10,383,Direct
S-000040-02,BK-000040,2,DAR,PEK,Dar es Salaam,Beijing,2023-12-24,345,Direct
S-000041-01,BK-000041,1,KWI,ZRH,Kuwait City,Zurich,2025-01-10,471,Direct
S-000042-01,BK-000042,1,KWI,LAX,Kuwait City,Los Angeles,2024-01-11,683,Connection
S-000043-01,BK-000043,1,MEL,MCT,Melbourne,Muscat,2024-05-24,770,Direct
S-000044-01,BK-000044,1,KWI,EVN,Kuwait City,Yerevan,2022-04-22,198,Direct
S-000045-01,BK-000045,1,KWI,TPE,Kuwait City,Taipei,2025-12-25,432,Connection
S-000046-01,BK-000046,1,KWI,BSR,Kuwait City,Basra,2017-10-30,117,Direct
S-000046-02,BK-000046,2,BSR,KWI,Basra,Kuwait City,2017-11-25,126,Direct
S-000047-01,BK-000047,1,ICN,ATH,Seoul,Athens,2019-11-02,440,Direct
S-000047-02,BK-000047,2,ATH,ICN,Athens,Seoul,2019-11-17,336,Direct
S-000048-01,BK-000048,1,SHJ,FCO,Sharjah,Rome,2019-10-14,471,Direct
S-000048-02,BK-000048,2,FCO,SHJ,Rome,Sharjah,2019-10-28,431,Direct
S-000049-01,BK-000049,1,KWI,MXP,Kuwait City,Milan,2023-08-16,331,Connection
S-000049-02,BK-000049,2,MXP,KWI,Milan,Kuwait City,2023-08-21,415,Connection
S-000050-01,BK-000050,1,KWI,VIE,Kuwait City,Vienna,2023-08-25,401,Direct
S-000051-01,BK-000051,1,BAH,SKT,Manama,Sialkot,2024-10-28,262,Direct
S-000051-02,BK-000051,2,SKT,BAH,Sialkot,Manama,2024-11-07,268,Direct
S-000052-01,BK-000052,1,KWI,BGW,Kuwait City,Baghdad,2018-06-01,246,Direct
S-000053-01,BK-000053,1,KWI,AMM,Kuwait City,Amman,2022-07-20,219,Connection
S-000054-01,BK-000054,1,ORD,KUL,Chicago,Kuala Lumpur,2019-10-03,387,Connection
S-000054-02,BK-000054,2,KUL,JNB,Kuala Lumpur,Johannesburg,2019-10-09,436,Direct
S-000055-01,BK-000055,1,KWI,SIN,Kuwait City,Singapore,2020-03-12,402,Direct
S-000055-02,BK-000055,2,SIN,KWI,Singapore,Kuwait City,2020-03-16,309,Connection
S-000056-01,BK-000056,1,KWI,AMS,Kuwait City,Amsterdam,2018-01-30,367,Direct
S-000056-02,BK-000056,2,AMS,HYD,Amsterdam,Hyderabad,2018-02-08,443,Direct
S-000057-01,BK-000057,1,KWI,RUH,Kuwait City,Riyadh,2018-03-03,103,Direct
S-000058-01,BK-000058,1,FRA,HAN,Frankfurt,Hanoi,2018-12-16,323,Direct
S-000059-01,BK-000059,1,KWI,MXP,Kuwait City,Milan,2022-05-06,373,Direct
S-000059-02,BK-000059,2,MXP,MAN,Milan,Manchester,2022-05-08,104,Direct
S-000060-01,BK-000060,1,KWI,BOM,Kuwait City,Mumbai,2025-09-29,311,Direct
S-000060-02,BK-000060,2,BOM,KWI,Mumbai,Kuwait City,2025-10-14,204,Connection
S-000061-01,BK-000061,1,KWI,SAW,Kuwait City,Istanbul-SAW,2015-06-12,356,Direct
S-000062-01,BK-000062,1,BGW,HAN,Baghdad,Hanoi,2024-12-05,273,Direct
S-000062-02,BK-000062,2,HAN,CMB,Hanoi,Colombo,2024-12-09,381,Direct
S-000062-03,BK-000062,3,CMB,BLR,Colombo,Bengaluru,2024-12-18,138,Direct
S-000063-01,BK-000063,1,BLR,PER,Bengaluru,Perth,2024-06-06,424,Direct
S-000064-01,BK-000064,1,ISB,PER,Islamabad,Perth,2017-08-11,275,Direct
S-000065-01,BK-000065,1,KWI,CAI,Kuwait City,Cairo,2024-02-23,242,Direct
S-000066-01,BK-000066,1,KWI,HKG,Kuwait City,Hong Kong,2020-01-24,505,Direct
S-000067-01,BK-000067,1,MCT,ALG,Muscat,Algiers,2025-05-04,311,Direct
S-000067-02,BK-000067,2,ALG,AMM,Algiers,Amman,2025-05-10,391,Direct
S-000068-01,BK-000068,1,MAD,MCT,Madrid,Muscat,2018-07-06,405,Connection
S-000069-01,BK-000069,1,DMM,LHR,Dammam,London,2015-05-31,349,Direct
S-000069-02,BK-000069,2,LHR,DMM,London,Dammam,2015-06-11,390,Direct
S-000070-01,BK-000070,1,KWI,SYD,Kuwait City,Sydney,2021-11-05,817,Connection
S-000071-01,BK-000071,1,KWI,PEK,Kuwait City,Beijing,2025-04-05,445,Direct
S-000071-02,BK-000071,2,PEK,KWI,Beijing,Kuwait City,2025-05-04,439,Direct
S-000072-01,BK-000072,1,KWI,LAX,Kuwait City,Los Angeles,2020-06-19,646,Connection
S-000072-02,BK-000072,2,LAX,ORD,Los Angeles,Chicago,2020-06-25,276,Connection
S-000072-03,BK-000072,3,ORD,HRG,Chicago,Hurghada,2020-07-04,392,Direct
S-000073-01,BK-000073,1,KWI,HAN,Kuwait City,Hanoi,2022-04-05,410,Direct
S-000073-02,BK-000073,2,HAN,KWI,Hanoi,Kuwait City,2022-05-05,334,Direct
S-000074-01,BK-000074,1,KWI,MCT,Kuwait City,Muscat,2020-07-05,90,Direct
S-000074-02,BK-000074,2,MCT,KWI,Muscat,Kuwait City,2020-07-12,114,Direct
S-000075-01,BK-000075,1,KWI,SIN,Kuwait City,Singapore,2022-11-26,321,Connection
S-000075-02,BK-000075,2,SIN,HKG,Singapore,Hong Kong,2022-12-03,366,Direct
S-000076-01,BK-000076,1,KWI,AUH,Kuwait City,Abu Dhabi,2022-01-27,114,Direct
S-000077-01,BK-000077,1,KWI,MAA,Kuwait City,Chennai,2024-03-18,215,Connection
S-000077-02,BK-000077,2,MAA,KWI,Chennai,Kuwait City,2024-04-16,295,Direct
S-000078-01,BK-000078,1,KWI,NRT,Kuwait City,Tokyo,2024-10-25,546,Direct
S-000078-02,BK-000078,2,NRT,KWI,Tokyo,Kuwait City,2024-10-31,566,Connection
S-000079-01,BK-000079,1,FRA,NBO,Frankfurt,Nairobi,2024-09-25,318,Direct
S-000080-01,BK-000080,1,KWI,VIE,Kuwait City,Vienna,2024-03-01,424,Direct
S-000080-02,BK-000080,2,VIE,KWI,Vienna,Kuwait City,2024-03-04,498,Direct
S-000081-01,BK-000081,1,KWI,JED,Kuwait City,Jeddah,2019-04-12,80,Direct
S-000081-02,BK-000081,2,JED,DAR,Jeddah,Dar es Salaam,2019-04-16,466,Direct
S-000082-01,BK-000082,1,KWI,IST,Kuwait City,Istanbul,2018-03-13,394,Direct
S-000083-01,BK-000083,1,KWI,ZRH,Kuwait City,Zurich,2023-12-25,484,Direct
S-000084-01,BK-000084,1,RUH,BEY,Riyadh,Beirut,2025-06-21,110,Direct
S-000085-01,BK-000085,1,KWI,SAW,Kuwait City,Istanbul-SAW,2024-02-08,416,Direct
S-000085-02,BK-000085,2,SAW,KWI,Istanbul-SAW,Kuwait City,2024-02-12,379,Direct
S-000086-01,BK-000086,1,EVN,AUH,Yerevan,Abu Dhabi,2024-05-08,192,Connection
S-000086-02,BK-000086,2,AUH,PVG,Abu Dhabi,Shanghai,2024-05-14,446,Direct
S-000087-01,BK-000087,1,KWI,SKT,Kuwait City,Sialkot,2022-01-06,274,Connection
S-000088-01,BK-000088,1,SHJ,KUL,Sharjah,Kuala Lumpur,2018-09-23,315,Direct
S-000088-02,BK-000088,2,KUL,BKK,Kuala Lumpur,Bangkok,2018-09-25,485,Connection
S-000089-01,BK-000089,1,KWI,MAA,Kuwait City,Chennai,2021-03-31,219,Connection
S-000089-02,BK-000089,2,MAA,KWI,Chennai,Kuwait City,2021-04-17,299,Direct
S-000090-01,BK-000090,1,KWI,MXP,Kuwait City,Milan,2021-07-13,303,Connection
S-000091-01,BK-000091,1,KWI,BKK,Kuwait City,Bangkok,2024-08-22,390,Connection
S-000091-02,BK-000091,2,BKK,KWI,Bangkok,Kuwait City,2024-08-30,370,Direct
S-000092-01,BK-000092,1,KWI,MCT,Kuwait City,Muscat,2023-06-27,120,Direct
S-000092-02,BK-000092,2,MCT,KWI,Muscat,Kuwait City,2023-07-24,89,Direct
S-000093-01,BK-000093,1,DMM,HYD,Dammam,Hyderabad,2016-06-06,236,Connection
S-000094-01,BK-000094,1,KWI,PEW,Kuwait City,Peshawar,2018-04-03,224,Direct
S-000094-02,BK-000094,2,PEW,KWI,Peshawar,Kuwait City,2018-04-29,255,Connection
S-000095-01,BK-000095,1,KWI,MAD,Kuwait City,Madrid,2025-10-21,477,Connection
S-000095-02,BK-000095,2,MAD,KWI,Madrid,Kuwait City,2025-10-23,398,Direct
S-000095-03,BK-000095,3,KWI,JNB,Kuwait City,Johannesburg,2025-10-31,426,Direct
S-000096-01,BK-000096,1,CDG,BOM,Paris,Mumbai,2024-12-13,567,Connection
S-000097-01,BK-000097,1,KWI,SAW,Kuwait City,Istanbul-SAW,2019-07-31,421,Direct
S-000097-02,BK-000097,2,SAW,KWI,Istanbul-SAW,Kuwait City,2019-08-12,500,Direct
S-000098-01,BK-000098,1,KWI,CMB,Kuwait City,Colombo,2018-04-09,188,Direct
S-000099-01,BK-000099,1,KWI,LHE,Kuwait City,Lahore,2017-06-08,287,Connection
S-000099-02,BK-000099,2,LHE,BSR,Lahore,Basra,2017-06-11,486,Connection
S-000100-01,BK-000100,1,KWI,BGW,Kuwait City,Baghdad,2025-12-23,134,Direct
S-000101-01,BK-000101,1,SHJ,PEK,Sharjah,Beijing,2021-12-28,428,Direct
S-000102-01,BK-000102,1,KWI,SKT,Kuwait City,Sialkot,2022-09-12,232,Direct
S-000103-01,BK-000103,1,KWI,SIN,Kuwait City,Singapore,2015-11-27,432,Direct
S-000103-02,BK-000103,2,SIN,KWI,Singapore,Kuwait City,2015-12-01,403,Direct
S-000104-01,BK-000104,1,MAD,KUL,Madrid,Kuala Lumpur,2018-09-03,399,Direct
S-000104-02,BK-000104,2,KUL,MAD,Kuala Lumpur,Madrid,2018-10-03,280,Direct
S-000105-01,BK-000105,1,KWI,SKT,Kuwait City,Sialkot,2016-11-21,225,Direct
S-000105-02,BK-000105,2,SKT,KWI,Sialkot,Kuwait City,2016-11-25,181,Direct
S-000106-01,BK-000106,1,KWI,BLR,Kuwait City,Bengaluru,2022-02-26,228,Connection
S-000106-02,BK-000106,2,BLR,KWI,Bengaluru,Kuwait City,2022-03-26,283,Connection
S-000107-01,BK-000107,1,TBS,MNL,Tbilisi,Manila,2023-09-30,429,Connection
S-000107-02,BK-000107,2,MNL,TBS,Manila,Tbilisi,2023-10-25,425,Direct
S-000108-01,BK-000108,1,JNB,BKK,Johannesburg,Bangkok,2017-01-14,390,Direct
S-000108-02,BK-000108,2,BKK,JNB,Bangkok,Johannesburg,2017-01-23,426,Direct
S-000109-01,BK-000109,1,KWI,CDG,Kuwait City,Paris,2016-05-11,469,Direct
S-000110-01,BK-000110,1,KWI,DMM,Kuwait City,Dammam,2025-12-06,76,Direct
S-000111-01,BK-000111,1,KWI,ZRH,Kuwait City,Zurich,2018-12-26,342,Connection
S-000111-02,BK-000111,2,ZRH,KWI,Zurich,Kuwait City,2019-01-13,382,Connection
S-000112-01,BK-000112,1,KWI,CMB,Kuwait City,Colombo,2022-12-25,207,Connection
S-000113-01,BK-000113,1,KWI,TLV,Kuwait City,Tel Aviv,2024-08-06,230,Direct
S-000114-01,BK-000114,1,KWI,VIE,Kuwait City,Vienna,2016-09-08,482,Direct
S-000115-01,BK-000115,1,KWI,BSR,Kuwait City,Basra,2025-05-11,243,Direct
S-000116-01,BK-000116,1,SAW,SYD,Istanbul-SAW,Sydney,2023-01-14,299,Direct
S-000116-02,BK-000116,2,SYD,AUH,Sydney,Abu Dhabi,2023-01-18,761,Direct
S-000117-01,BK-000117,1,KWI,NBO,Kuwait City,Nairobi,2018-01-11,355,Direct
S-000117-02,BK-000117,2,NBO,KWI,Nairobi,Kuwait City,2018-02-02,435,Direct
S-000118-01,BK-000118,1,FCO,DXB,Rome,Dubai,2023-07-31,497,Direct
S-000118-02,BK-000118,2,DXB,FCO,Dubai,Rome,2023-08-03,460,Connection
S-000119-01,BK-000119,1,KWI,BKK,Kuwait City,Bangkok,2025-03-12,316,Direct
S-000119-02,BK-000119,2,BKK,KWI,Bangkok,Kuwait City,2025-04-02,311,Direct
S-000120-01,BK-000120,1,DMM,DEL,Dammam,New Delhi,2019-11-15,227,Connection
S-000120-02,BK-000120,2,DEL,DMM,New Delhi,Dammam,2019-12-14,244,Connection
S-000121-01,BK-000121,1,DMM,ORD,Dammam,Chicago,2022-01-09,889,Direct
S-000122-01,BK-000122,1,BAH,NRT,Manama,Tokyo,2018-06-22,424,Direct
S-000123-01,BK-000123,1,ZRH,SHJ,Zurich,Sharjah,2018-03-03,310,Connection
S-000123-02,BK-000123,2,SHJ,CDG,Sharjah,Paris,2018-03-09,394,Connection
S-000123-03,BK-000123,3,CDG,MAN,Paris,Manchester,2018-03-16,159,Direct
S-000124-01,BK-000124,1,EVN,MXP,Yerevan,Milan,2015-12-24,328,Direct
S-000124-02,BK-000124,2,MXP,EVN,Milan,Yerevan,2016-01-10,242,Connection
S-000125-01,BK-000125,1,KWI,HAN,Kuwait City,Hanoi,2018-04-02,366,Direct
S-000125-02,BK-000125,2,HAN,KWI,Hanoi,Kuwait City,2018-04-21,403,Direct
S-000126-01,BK-000126,1,KWI,TLV,Kuwait City,Tel Aviv,2025-02-15,124,Connection
S-000127-01,BK-000127,1,KWI,GRU,Kuwait City,Sao Paulo,2022-03-10,642,Direct
S-000127-02,BK-000127,2,GRU,KUL,Sao Paulo,Kuala Lumpur,2022-03-12,431,Direct
S-000127-03,BK-000127,3,KUL,HYD,Kuala Lumpur,Hyderabad,2022-03-22,280,Direct
S-000128-01,BK-000128,1,KWI,MXP,Kuwait City,Milan,2020-07-13,500,Direct
S-000128-02,BK-000128,2,MXP,KWI,Milan,Kuwait City,2020-07-21,325,Connection
S-000129-01,BK-000129,1,AUH,CGK,Abu Dhabi,Jakarta,2024-11-26,412,Connection
S-000130-01,BK-000130,1,KWI,DEL,Kuwait City,New Delhi,2019-04-13,197,Direct
S-000130-02,BK-000130,2,DEL,KWI,New Delhi,Kuwait City,2019-05-03,252,Direct
S-000131-01,BK-000131,1,KWI,BLR,Kuwait City,Bengaluru,2025-06-09,297,Direct
S-000131-02,BK-000131,2,BLR,KWI,Bengaluru,Kuwait City,2025-07-09,187,Direct
S-000132-01,BK-000132,1,KWI,PVG,Kuwait City,Shanghai,2024-01-13,487,Connection
S-000132-02,BK-000132,2,PVG,AMS,Shanghai,Amsterdam,2024-01-20,289,Direct
S-000133-01,BK-000133,1,KWI,HYD,Kuwait City,Hyderabad,2022-11-12,188,Direct
S-000133-02,BK-000133,2,HYD,TBS,Hyderabad,Tbilisi,2022-11-15,428,Direct
S-000133-03,BK-000133,3,TBS,TPE,Tbilisi,Taipei,2022-11-17,253,Direct
S-000134-01,BK-000134,1,KWI,DAC,Kuwait City,Dhaka,2023-05-28,307,Connection
S-000135-01,BK-000135,1,KWI,LHR,Kuwait City,London,2024-08-17,447,Direct
S-000135-02,BK-000135,2,LHR,KWI,London,Kuwait City,2024-09-09,437,Connection
S-000136-01,BK-000136,1,KWI,IAD,Kuwait City,Washington DC,2022-11-12,830,Direct
S-000137-01,BK-000137,1,KWI,KHI,Kuwait City,Karachi,2017-06-24,252,Direct
S-000137-02,BK-000137,2,KHI,KWI,Karachi,Kuwait City,2017-07-01,213,Direct
S-000138-01,BK-000138,1,KWI,CMB,Kuwait City,Colombo,2023-09-18,246,Connection
S-000138-02,BK-000138,2,CMB,KWI,Colombo,Kuwait City,2023-09-21,180,Direct
S-000139-01,BK-000139,1,KWI,CAI,Kuwait City,Cairo,2021-10-02,120,Direct
S-000139-02,BK-000139,2,CAI,ADL,Cairo,Adelaide,2021-10-08,322,Direct
S-000140-01,BK-000140,1,KWI,IST,Kuwait City,Istanbul,2025-02-20,303,Direct
S-000140-02,BK-000140,2,IST,KWI,Istanbul,Kuwait City,2025-03-05,407,Direct
S-000141-01,BK-000141,1,KWI,BKK,Kuwait City,Bangkok,2022-03-01,308,Connection
S-000141-02,BK-000141,2,BKK,KWI,Bangkok,Kuwait City,2022-03-27,324,Direct
S-000142-01,BK-000142,1,KWI,CMB,Kuwait City,Colombo,2025-09-10,182,Direct
S-000142-02,BK-000142,2,CMB,KWI,Colombo,Kuwait City,2025-10-01,301,Direct
S-000143-01,BK-000143,1,KWI,VIE,Kuwait City,Vienna,2017-02-04,391,Direct
S-000143-02,BK-000143,2,VIE,CMB,Vienna,Colombo,2017-02-13,543,Connection
S-000143-03,BK-000143,3,CMB,IAD,Colombo,Washington DC,2017-02-17,389,Direct
S-000144-01,BK-000144,1,KWI,NJF,Kuwait City,Najaf,2025-10-24,227,Direct
S-000144-02,BK-000144,2,NJF,KWI,Najaf,Kuwait City,2025-10-31,172,Direct
S-000145-01,BK-000145,1,KWI,LHE,Kuwait City,Lahore,2023-02-08,195,Direct
S-000146-01,BK-000146,1,DAR,PEW,Dar es Salaam,Peshawar,2016-12-02,341,Direct
S-000147-01,BK-000147,1,KWI,ORD,Kuwait City,Chicago,2017-05-16,831,Direct
S-000147-02,BK-000147,2,ORD,KWI,Chicago,Kuwait City,2017-05-31,600,Direct
S-000148-01,BK-000148,1,NJF,JNB,Najaf,Johannesburg,2017-06-05,333,Direct
S-000149-01,BK-000149,1,KWI,MUX,Kuwait City,Multan,2024-04-05,309,Connection
S-000149-02,BK-000149,2,MUX,KWI,Multan,Kuwait City,2024-04-21,254,Direct
S-000150-01,BK-000150,1,DOH,TLV,Doha,Tel Aviv,2023-03-10,188,Direct
S-000151-01,BK-000151,1,DOH,SGN,Doha,Ho Chi Minh,2023-10-04,305,Direct
S-000151-02,BK-000151,2,SGN,MAN,Ho Chi Minh,Manchester,2023-10-14,442,Connection
S-000152-01,BK-000152,1,KWI,PEW,Kuwait City,Peshawar,2023-02-08,304,Direct
S-000152-02,BK-000152,2,PEW,KWI,Peshawar,Kuwait City,2023-02-28,202,Connection
S-000153-01,BK-000153,1,KWI,BAH,Kuwait City,Manama,2015-02-10,88,Connection
S-000154-01,BK-000154,1,KWI,ADL,Kuwait City,Adelaide,2023-02-01,774,Direct
S-000155-01,BK-000155,1,BAH,NRT,Manama,Tokyo,2023-01-05,511,Connection
S-000156-01,BK-000156,1,KWI,DAC,Kuwait City,Dhaka,2022-02-21,192,Connection
S-000157-01,BK-000157,1,KWI,NRT,Kuwait City,Tokyo,2021-04-28,536,Direct
S-000158-01,BK-000158,1,AUH,CMB,Abu Dhabi,Colombo,2016-06-02,225,Direct
S-000158-02,BK-000158,2,CMB,AUH,Colombo,Abu Dhabi,2016-06-06,287,Direct
S-000159-01,BK-000159,1,KWI,AMM,Kuwait City,Amman,2017-06-17,137,Connection
S-000159-02,BK-000159,2,AMM,KWI,Amman,Kuwait City,2017-07-01,109,Connection
S-000160-01,BK-000160,1,MED,VIE,Medina,Vienna,2019-09-17,477,Direct
S-000160-02,BK-000160,2,VIE,MED,Vienna,Medina,2019-09-30,434,Direct
S-000161-01,BK-000161,1,JED,SSH,Jeddah,Sharm El Sheikh,2016-12-19,102,Direct
S-000161-02,BK-000161,2,SSH,SGN,Sharm El Sheikh,Ho Chi Minh,2016-12-22,328,Direct
S-000161-03,BK-000161,3,SGN,BNE,Ho Chi Minh,Brisbane,2016-12-24,279,Direct
S-000162-01,BK-000162,1,KWI,ISB,Kuwait City,Islamabad,2025-04-16,196,Direct
S-000162-02,BK-000162,2,ISB,CCU,Islamabad,Kolkata,2025-04-24,196,Direct
S-000162-03,BK-000162,3,CCU,JNB,Kolkata,Johannesburg,2025-04-27,471,Direct
S-000163-01,BK-000163,1,KWI,KHI,Kuwait City,Karachi,2021-03-24,259,Direct
S-000163-02,BK-000163,2,KHI,KWI,Karachi,Kuwait City,2021-04-17,202,Direct
S-000164-01,BK-000164,1,KWI,BOM,Kuwait City,Mumbai,2023-02-05,187,Direct
S-000164-02,BK-000164,2,BOM,KWI,Mumbai,Kuwait City,2023-03-01,192,Connection
S-000165-01,BK-000165,1,KWI,BAH,Kuwait City,Manama,2020-05-29,118,Direct
S-000165-02,BK-000165,2,BAH,KWI,Manama,Kuwait City,2020-06-03,120,Connection
S-000166-01,BK-000166,1,KWI,ATH,Kuwait City,Athens,2023-11-02,445,Direct
S-000166-02,BK-000166,2,ATH,KWI,Athens,Kuwait City,2023-11-22,477,Connection
S-000167-01,BK-000167,1,KWI,DAC,Kuwait City,Dhaka,2023-09-17,279,Direct
S-000168-01,BK-000168,1,BAH,ADL,Manama,Adelaide,2019-12-27,901,Direct
S-000168-02,BK-000168,2,ADL,CMN,Adelaide,Casablanca,2020-01-04,389,Connection
S-000168-03,BK-000168,3,CMN,TBS,Casablanca,Tbilisi,2020-01-08,298,Direct
S-000169-01,BK-000169,1,KWI,PEW,Kuwait City,Peshawar,2025-08-15,208,Direct
S-000169-02,BK-000169,2,PEW,KWI,Peshawar,Kuwait City,2025-09-09,200,Connection
S-000170-01,BK-000170,1,AUH,MAN,Abu Dhabi,Manchester,2021-09-29,315,Direct
S-000171-01,BK-000171,1,KWI,CAI,Kuwait City,Cairo,2017-03-29,108,Direct
S-000171-02,BK-000171,2,CAI,KWI,Cairo,Kuwait City,2017-04-03,137,Direct
S-000172-01,BK-000172,1,KWI,FCO,Kuwait City,Rome,2024-10-04,435,Direct
S-000172-02,BK-000172,2,FCO,KWI,Rome,Kuwait City,2024-10-08,324,Direct
S-000173-01,BK-000173,1,KWI,HAN,Kuwait City,Hanoi,2025-06-15,372,Direct
S-000174-01,BK-000174,1,AUH,HYD,Abu Dhabi,Hyderabad,2025-12-24,265,Direct
