payment_id,booking_id,payment_method,paid_usd,payment_date,payment_status
PM-000290,BK-000290,KNet,3607.53,2016-06-12,Paid
PM-000291,BK-000291,KNet,1877.68,2023-03-15,Paid
PM-000292,BK-000292,Cash,12387.59,2024-08-27,Paid
PM-000293,BK-000293,KNet,665.81,2020-02-08,Paid
PM-000294,BK-000294,Bank Transfer,6649.73,2025-09-03,Paid
PM-000295,BK-000295,Payment Link,2114.21,2025-05-16,Paid
PM-000296,BK-000296,Online Transfer,6010.91,2025-03-19,Paid
PM-000297,BK-000297,Card,683.74,2019-10-10,Paid
PM-000298,BK-000298,Cash,194.49,2021-09-15,Partial
PM-000299,BK-000299,Card,2348.3,2017-07-14,Refunded
PM-000300,BK-000300,Payment Link,655.2,2025-11-19,Paid
PM-000301,BK-000301,Online Transfer,1399.41,2022-05-06,Partial
PM-000302,BK-000302,Payment Link,1915.89,2017-06-28,Paid
PM-000303,BK-000303,KNet,3440.87,2021-09-24,Paid
PM-000304,BK-000304,KNet,2441.43,2018-11-01,Paid
PM-000305,BK-000305,Card,3078.68,2018-02-22,Partial
PM-000306,BK-000306,Card,1307.23,2019-12-02,Paid
PM-000307,BK-000307,Payment Link,2443.93,2025-01-29,Paid
PM-000308,BK-000308,KNet,624.04,2024-06-03,Paid
PM-000309,BK-000309,Cash,613.84,2025-11-16,Paid
PM-000310,BK-000310,KNet,967.15,2021-04-22,Partial
PM-000311,BK-000311,Payment Link,2144.19,2020-07-20,Refunded
PM-000312,BK-000312,Payment Link,2205.99,2023-07-04,Refunded
PM-000313,BK-000313,Online Transfer,533.98,2022-03-01,Paid
PM-000314,BK-000314,Cash,373.83,2020-10-28,Refunded
PM-000315,BK-000315,Card,3710.85,2018-05-26,Partial
PM-000316,BK-000316,KNet,3316.57,2023-04-13,Paid
PM-000317,BK-000317,Online Transfer,10201.22,2021-09-26,Paid
PM-000318,BK-000318,KNet,1271.11,2023-12-20,Partial
PM-000319,BK-000319,Bank Transfer,0.0,2022-12-29,Unpaid
PM-000320,BK-000320,Cash,4080.94,2018-07-03,Paid
PM-000321,BK-000321,Card,2848.14,2022-06-17,Refunded
PM-000322,BK-000322,Card,4480.91,2018-04-18,Paid
PM-000323,BK-000323,Card,2434.03,2019-01-16,Paid
PM-000324,BK-000324,Card,512.59,2022-03-09,Paid
PM-000325,BK-000325,Payment Link,205.88,2017-08-17,Partial
PM-000326,BK-000326,KNet,5951.75,2018-09-14,Paid
PM-000327,BK-000327,Online Transfer,2923.64,2025-03-02,Partial
PM-000328,BK-000328,Card,10524.44,2024-11-02,Paid
PM-000329,BK-000329,Card,1741.13,2023-06-17,Refunded
PM-000330,BK-000330,KNet,2250.91,2023-06-14,Paid
PM-000331,BK-000331,KNet,231.32,2019-08-01,Partial
PM-000332,BK-000332,Card,3602.11,2022-12-08,Refunded
PM-000333,BK-000333,Online Transfer,411.26,2025-03-09,Partial
PM-000334,BK-000334,KNet,9626.09,2024-10-16,Paid
PM-000335,BK-000335,Payment Link,1018.01,2023-09-19,Paid
PM-000336,BK-000336,Cash,4420.21,2022-09-20,Partial
PM-000337,BK-000337,Bank Transfer,2870.99,2017-09-22,Partial
PM-000338,BK-000338,KNet,1742.78,2018-01-04,Partial
PM-000339,BK-000339,KNet,1446.15,2021-08-17,Partial
PM-000340,BK-000340,Cash,6521.2,2019-08-18,Paid
PM-000341,BK-000341,Bank Transfer,1044.94,2018-11-23,Partial
PM-000342,BK-000342,KNet,1335.0,2022-01-16,Paid
PM-000343,BK-000343,Card,224.95,2016-11-26,Partial
PM-000344,BK-000344,Bank Transfer,13560.04,2024-10-15,Paid
PM-000345,BK-000345,Cash,0.0,2017-05-30,Unpaid
PM-000346,BK-000346,Bank Transfer,2256.23,2019-05-31,Paid
PM-000347,BK-000347,Payment Link,2906.56,2025-11-16,Paid
PM-000348,BK-000348,Online Transfer,1464.82,2019-09-30,Partial
PM-000349,BK-000349,KNet,2628.74,2025-01-07,Partial
PM-000350,BK-000350,Cash,6867.46,2016-08-04,Paid
PM-000351,BK-000351,Online Transfer,8026.14,2023-04-17,Paid
PM-000352,BK-000352,Card,287.89,2017-06-12,Partial
PM-000353,BK-000353,Card,5540.55,2020-03-20,Refunded
PM-000354,BK-000354,Online Transfer,1679.7,2021-11-13,Paid
PM-000355,BK-000355,Card,362.29,2017-12-07,Refunded
PM-000356,BK-000356,KNet,2092.12,2024-02-21,Paid
PM-000357,BK-000357,Card,1085.89,2020-12-15,Paid
PM-000358,BK-000358,KNet,828.97,2019-02-27,Paid
PM-000359,BK-000359,KNet,305.62,2021-06-21,Paid
PM-000360,BK-000360,Online Transfer,1038.83,2023-02-24,Partial
PM-000361,BK-000361,Bank Transfer,2170.59,2018-01-15,Paid
PM-000362,BK-000362,KNet,3794.69,2022-04-21,Paid
PM-000363,BK-000363,KNet,990.7,2023-03-08,Partial
PM-000364,BK-000364,Online Transfer,925.91,2018-11-24,Refunded
PM-000365,BK-000365,Card,2081.56,2017-06-05,Paid
PM-000366,BK-000366,Payment Link,10724.28,2022-03-08,Paid
PM-000367,BK-000367,KNet,307.28,2022-05-11,Paid
PM-000368,BK-000368,Payment Link,1783.0,2018-01-16,Paid
PM-000369,BK-000369,Card,2168.5,2019-09-13,Paid
PM-000370,BK-000370,Card,1233.36,2024-04-10,Refunded
PM-000371,BK-000371,Cash,307.78,2015-05-14,Partial
PM-000372,BK-000372,Card,4947.21,2022-04-07,Paid
PM-000373,BK-000373,Online Transfer,1135.74,2015-07-28,Paid
PM-000374,BK-000374,KNet,1320.84,2023-10-31,Partial
PM-000375,BK-000375,Payment Link,473.91,2024-04-22,Partial
PM-000376,BK-000376,Payment Link,421.21,2023-12-01,Partial
PM-000377,BK-000377,Bank Transfer,2918.63,2025-10-26,Paid
PM-000378,BK-000378,KNet,591.24,2015-08-16,Paid
PM-000379,BK-000379,Card,3890.93,2024-09-17,Paid
PM-000380,BK-000380,KNet,1242.89,2017-09-23,Paid
PM-000381,BK-000381,Cash,2538.54,2017-09-02,Paid
PM-000382,BK-000382,KNet,3332.41,2024-12-07,Paid
PM-000383,BK-000383,Online Transfer,2331.65,2020-08-19,Refunded
PM-000384,BK-000384,Payment Link,2368.51,2025-09-20,Paid
PM-000385,BK-000385,Payment Link,2561.45,2021-04-14,Paid
PM-000386,BK-000386,KNet,874.22,2022-06-14,Paid
PM-000387,BK-000387,Cash,767.72,2023-11-07,Partial
PM-000388,BK-000388,Cash,636.52,2023-10-20,Partial
PM-000389,BK-000389,KNet,5452.16,2024-01-15,Paid
PM-000390,BK-000390,KNet,2454.06,2019-07-01,Paid
PM-000391,BK-000391,KNet,1011.68,2020-11-13,Partial
PM-000392,BK-000392,Online Transfer,14113.45,2021-12-03,Paid
PM-000393,BK-000393,KNet,4039.86,2018-10-08,Paid
PM-000394,BK-000394,Online Transfer,0.0,2015-11-08,Unpaid
PM-000395,BK-000395,Payment Link,1274.03,2017-06-19,Paid
PM-000396,BK-000396,Payment Link,1772.76,2025-11-08,Partial
PM-000397,BK-000397,Online Transfer,14076.38,2024-08-20,Partial
PM-000398,BK-000398,Online Transfer,1583.42,2024-11-03,Partial
PM-000399,BK-000399,Payment Link,7215.41,2016-09-28,Paid
PM-000400,BK-000400,Card,4249.68,2022-04-21,Paid
PM-000401,BK-000401,Bank Transfer,699.06,2024-07-24,Partial
PM-000402,BK-000402,KNet,418.73,2018-03-09,Paid
PM-000403,BK-000403,Cash,940.12,2023-08-16,Paid
PM-000404,BK-000404,Online Transfer,5085.76,2025-10-22,Paid
PM-000405,BK-000405,KNet,725.93,2019-12-11,Partial
PM-000406,BK-000406,KNet,7205.45,2021-04-04,Refunded
PM-000407,BK-000407,Card,4335.12,2019-02-05,Partial
PM-000408,BK-000408,Online Transfer,6158.7,2025-08-18,Paid
PM-000409,BK-000409,Cash,289.26,2025-11-02,Paid
PM-000410,BK-000410,Cash,4028.83,2020-07-19,Refunded
PM-000411,BK-000411,KNet,8183.16,2025-11-14,Refunded
PM-000412,BK-000412,Bank Transfer,422.08,2018-03-16,Partial
PM-000413,BK-000413,Card,1697.87,2016-02-04,Paid
PM-000414,BK-000414,KNet,2224.34,2021-08-29,Paid
PM-000415,BK-000415,Bank Transfer,607.65,2021-08-14,Partial
PM-000416,BK-000416,KNet,8598.24,2016-01-12,Partial
PM-000417,BK-000417,Bank Transfer,1070.63,2025-02-01,Paid
PM-000418,BK-000418,Card,2549.36,2017-06-06,Refunded
PM-000419,BK-000419,Card,2351.8,2019-07-22,Refunded
PM-000420,BK-000420,Cash,1677.67,2024-04-17,Partial
PM-000421,BK-000421,Cash,1605.99,2020-04-22,Paid
PM-000422,BK-000422,Online Transfer,4238.82,2025-05-13,Paid
PM-000423,BK-000423,KNet,4003.55,2024-10-17,Paid
PM-000424,BK-000424,KNet,1801.03,2022-08-13,Paid
PM-000425,BK-000425,Cash,7859.46,2019-09-01,Paid
PM-000426,BK-000426,Online Transfer,2094.45,2023-03-29,Partial
