passenger_id,booking_id,passenger_type,gender,age,nationality,loyalty_member
P-000014-02,BK-000014,ADT,M,59,Qatari,1
P-000014-03,BK-000014,CHD,M,5,Nepali,0
P-000014-04,BK-000014,CHD,M,9,Emirati,0
P-000015-01,BK-000015,ADT,M,46,Qatari,0
P-000016-01,BK-000016,ADT,M,52,Indonesian,0
P-000016-02,BK-000016,ADT,F,45,Kuwaiti,0
P-000016-03,BK-000016,ADT,F,60,Omani,1
P-000016-04,BK-000016,CHD,M,4,Thai,0
P-000017-01,BK-000017,ADT,M,59,Filipino,1
P-000018-01,BK-000018,ADT,F,42,Kuwaiti,0
P-000018-02,BK-000018,ADT,M,62,Qatari,1
P-000018-03,BK-000018,CHD,M,6,Emirati,0
P-000018-04,BK-000018,CHD,F,7,Omani,0
P-000019-01,BK-000019,ADT,M,46,German,0
P-000019-02,BK-000019,ADT,F,60,Bahraini,0
P-000020-01,BK-000020,ADT,F,60,Sri Lankan,0
P-000020-02,BK-000020,ADT,F,40,Bahraini,0
P-000021-01,BK-000021,ADT,M,63,Saudi,0
P-000021-02,BK-000021,ADT,F,21,Bahraini,0
P-000021-03,BK-000021,ADT,F,66,Qatari,1
P-000021-04,BK-000021,ADT,F,54,Turkish,0
P-000021-05,BK-000021,ADT,M,39,Emirati,0
P-000021-06,BK-000021,INF,M,1,Saudi,0
P-000022-01,BK-000022,ADT,M,66,British,0
P-000022-02,BK-000022,ADT,M,23,French,0
P-000022-03,BK-000022,ADT,M,22,British,0
P-000022-04,BK-000022,ADT,F,62,Turkish,0
P-000022-05,BK-000022,INF,F,0,Egyptian,0
P-000022-06,BK-000022,INF,M,0,German,0
P-000023-01,BK-000023,ADT,F,45,Saudi,0
P-000023-02,BK-000023,ADT,M,32,Saudi,0
P-000023-03,BK-000023,ADT,M,66,Sri Lankan,0
P-000024-01,BK-000024,ADT,M,38,Pakistani,1
P-000024-02,BK-000024,ADT,M,70,Bangladeshi,0
P-000024-03,BK-000024,ADT,F,30,Sri Lankan,0
P-000024-04,BK-000024,ADT,M,66,Kuwaiti,0
P-000024-05,BK-000024,CHD,F,4,Bangladeshi,0
P-000025-01,BK-000025,ADT,M,30,Kenyan,0
P-000025-02,BK-000025,ADT,F,68,Kenyan,1
P-000026-01,BK-000026,ADT,M,60,Emirati,1
P-000027-01,BK-000027,ADT,F,58,Indian,0
P-000027-02,BK-000027,CHD,F,5,Bangladeshi,0
P-000028-01,BK-000028,ADT,M,55,Emirati,0
P-000028-02,BK-000028,ADT,F,34,Saudi,1
P-000028-03,BK-000028,ADT,F,69,Qatari,1
P-000029-01,BK-000029,ADT,M,54,Sri Lankan,1
P-000029-02,BK-000029,ADT,F,71,Chinese,0
P-000029-03,BK-000029,ADT,M,40,Nepali,0
P-000029-04,BK-000029,ADT,M,34,Nepali,0
P-000029-05,BK-000029,ADT,M,58,Japanese,1
P-000029-06,BK-000029,INF,F,0,Korean,0
P-000030-01,BK-000030,ADT,F,23,Kuwaiti,0
P-000030-02,BK-000030,CHD,F,3,Omani,0
P-000031-01,BK-000031,ADT,F,47,Kenyan,0
P-000032-01,BK-000032,ADT,M,30,Egyptian,0
P-000032-02,BK-000032,ADT,M,31,Emirati,1
P-000032-03,BK-000032,CHD,M,5,Kuwaiti,0
P-000033-01,BK-000033,ADT,F,29,Ethiopian,0
P-000034-01,BK-000034,ADT,F,23,Emirati,0
P-000034-02,BK-000034,INF,F,0,Nigerian,0
P-000035-01,BK-000035,ADT,F,44,Nepali,1
P-000036-01,BK-000036,ADT,M,61,Saudi,0
P-000036-02,BK-000036,ADT,F,35,Bahraini,0
P-000036-03,BK-000036,CHD,M,4,Pakistani,0
P-000036-04,BK-000036,CHD,M,3,Kuwaiti,0
P-000037-01,BK-000037,ADT,M,66,Omani,0
P-000037-02,BK-000037,INF,F,0,Nepali,0
P-000038-01,BK-000038,ADT,M,38,Chinese,1
P-000038-02,BK-000038,ADT,F,47,Emirati,0
P-000038-03,BK-000038,ADT,M,24,Kuwaiti,0
P-000038-04,BK-000038,ADT,M,51,Kuwaiti,1
P-000038-05,BK-000038,INF,M,1,Omani,0
P-000039-01,BK-000039,ADT,F,58,Bahraini,0
P-000039-02,BK-000039,ADT,F,22,Bangladeshi,0
P-000039-03,BK-000039,CHD,M,6,Omani,0
P-000039-04,BK-000039,CHD,M,10,Qatari,0
P-000040-01,BK-000040,ADT,M,50,Chinese,0
P-000040-02,BK-000040,INF,F,0,Nigerian,0
P-000041-01,BK-000041,ADT,M,56,Qatari,0
P-000041-02,BK-000041,INF,F,1,Bahraini,0
P-000042-01,BK-000042,ADT,M,67,Qatari,0
P-000043-01,BK-000043,ADT,F,47,Saudi,0
P-000043-02,BK-000043,CHD,M,8,New Zealander,0
P-000044-01,BK-000044,ADT,F,21,Syrian,0
P-000045-01,BK-000045,ADT,F,67,Qatari,0
P-000046-01,BK-000046,ADT,F,42,Emirati,0
P-000046-02,BK-000046,ADT,F,41,Kuwaiti,0
P-000047-01,BK-000047,ADT,F,37,German,0
P-000047-02,BK-000047,ADT,M,20,Japanese,0
P-000047-03,BK-000047,ADT,M,67,Italian,0
P-000047-04,BK-000047,ADT,F,25,British,1
P-000048-01,BK-000048,ADT,F,40,Emirati,1
P-000048-02,BK-000048,CHD,F,7,Saudi,0
P-000048-03,BK-000048,INF,M,1,Saudi,0
P-000049-01,BK-000049,ADT,F,43,Saudi,0
P-000049-02,BK-000049,ADT,M,25,Omani,0
P-000049-03,BK-000049,ADT,M,42,Saudi,1
P-000049-04,BK-000049,CHD,M,9,Qatari,0
P-000049-05,BK-000049,INF,F,1,Kuwaiti,0
P-000050-01,BK-000050,ADT,F,19,Spanish,0
P-000050-02,BK-000050,ADT,M,47,Saudi,0
P-000051-01,BK-000051,ADT,M,51,Qatari,0
P-000052-01,BK-000052,ADT,M,23,Saudi,1
P-000053-01,BK-000053,ADT,M,43,Omani,0
P-000053-02,BK-000053,CHD,F,3,Emirati,0
P-000054-01,BK-000054,ADT,F,31,American,0
P-000054-02,BK-000054,INF,F,0,Canadian,0
P-000055-01,BK-000055,ADT,M,66,Kuwaiti,0
P-000056-01,BK-000056,ADT,F,41,Qatari,1
P-000056-02,BK-000056,INF,M,1,Turkish,0
P-000057-01,BK-000057,ADT,M,51,Omani,0
P-000057-02,BK-000057,INF,F,1,Bahraini,0
P-000057-03,BK-000057,INF,F,1,Omani,0
P-000058-01,BK-000058,ADT,F,25,Thai,1
P-000058-02,BK-000058,CHD,F,4,French,0
P-000059-01,BK-000059,ADT,M,24,Kuwaiti,1
P-000059-02,BK-000059,ADT,F,28,Turkish,0
P-000059-03,BK-000059,CHD,F,5,Bahraini,0
P-000060-01,BK-000060,ADT,F,26,Saudi,0
P-000060-02,BK-000060,ADT,F,25,Omani,1
P-000060-03,BK-000060,ADT,F,59,Omani,0
P-000060-04,BK-000060,CHD,F,7,Kuwaiti,0
P-000060-05,BK-000060,INF,F,0,Indian,0
P-000061-01,BK-000061,ADT,F,58,Omani,0
P-000062-01,BK-000062,ADT,F,28,Indonesian,0
P-000062-02,BK-000062,ADT,M,25,Malaysian,0
P-000063-01,BK-000063,ADT,F,42,Indian,0
P-000064-01,BK-000064,ADT,M,30,Pakistani,1
P-000064-02,BK-000064,ADT,M,44,Sri Lankan,0
P-000065-01,BK-000065,ADT,M,37,Syrian,0
P-000065-02,BK-000065,ADT,F,37,Emirati,0
P-000065-03,BK-000065,INF,M,1,Lebanese,0
P-000066-01,BK-000066,ADT,F,33,Qatari,0
P-000066-02,BK-000066,ADT,F,23,Japanese,0
P-000066-03,BK-000066,ADT,M,52,Kuwaiti,0
P-000066-04,BK-000066,ADT,M,61,Japanese,0
P-000066-05,BK-000066,ADT,M,69,Emirati,0
P-000067-01,BK-000067,ADT,F,24,Bahraini,1
P-000067-02,BK-000067,CHD,F,7,Kenyan,0
P-000068-01,BK-000068,ADT,M,52,Bahraini,0
P-000068-02,BK-000068,INF,M,1,British,0
P-000069-01,BK-000069,ADT,F,50,Omani,0
P-000069-02,BK-000069,INF,M,0,Emirati,0
P-000070-01,BK-000070,ADT,F,72,Bahraini,1
P-000070-02,BK-000070,ADT,M,54,Saudi,1
P-000071-01,BK-000071,ADT,F,54,Bahraini,1
P-000071-02,BK-000071,ADT,F,39,Chinese,1
P-000071-03,BK-000071,INF,M,1,Saudi,0
P-000071-04,BK-000071,INF,F,1,Kuwaiti,0
P-000072-01,BK-000072,ADT,F,23,Saudi,0
P-000072-02,BK-000072,INF,M,1,Omani,0
P-000072-03,BK-000072,INF,F,0,Emirati,0
P-000073-01,BK-000073,ADT,F,37,Indonesian,0
P-000073-02,BK-000073,ADT,F,28,Saudi,0
P-000073-03,BK-000073,ADT,M,48,Omani,0
P-000073-04,BK-000073,ADT,F,33,Kuwaiti,0
P-000073-05,BK-000073,ADT,F,26,Kuwaiti,1
P-000073-06,BK-000073,ADT,F,39,Bahraini,0
P-000074-01,BK-000074,ADT,F,64,Kuwaiti,0
P-000074-02,BK-000074,INF,M,0,Emirati,0
P-000074-03,BK-000074,INF,M,1,Qatari,0
P-000075-01,BK-000075,ADT,F,54,Bahraini,1
P-000075-02,BK-000075,ADT,M,45,Kuwaiti,0
P-000075-03,BK-000075,ADT,M,32,Filipino,0
P-000075-04,BK-000075,ADT,M,47,Omani,1
P-000075-05,BK-000075,ADT,M,48,Qatari,0
P-000076-01,BK-000076,ADT,F,32,Omani,0
P-000076-02,BK-000076,ADT,F,60,Kuwaiti,0
P-000076-03,BK-000076,CHD,M,11,Saudi,0
P-000077-01,BK-000077,ADT,F,40,Omani,1
P-000077-02,BK-000077,ADT,F,63,Saudi,1
P-000077-03,BK-000077,ADT,M,38,Emirati,0
P-000077-04,BK-000077,ADT,F,29,Bahraini,0
P-000077-05,BK-000077,ADT,M,44,Pakistani,0
P-000077-06,BK-000077,ADT,M,49,Omani,0
P-000078-01,BK-000078,ADT,F,67,Qatari,1
P-000079-01,BK-000079,ADT,F,63,Spanish,0
P-000079-02,BK-000079,ADT,M,68,British,1
P-000079-03,BK-000079,ADT,F,54,German,0
P-000079-04,BK-000079,ADT,F,28,Turkish,0
P-000080-01,BK-000080,ADT,F,54,French,0
P-000080-02,BK-000080,ADT,M,22,British,0
P-000080-03,BK-000080,INF,F,0,German,0
P-000081-01,BK-000081,ADT,F,24,Kuwaiti,0
P-000082-01,BK-000082,ADT,M,18,Bahraini,1
P-000082-02,BK-000082,ADT,M,45,Turkish,0
P-000082-03,BK-000082,ADT,M,42,Qatari,0
P-000083-01,BK-000083,ADT,F,55,Omani,1
P-000083-02,BK-000083,ADT,M,38,Emirati,0
P-000083-03,BK-000083,ADT,M,23,Spanish,0
P-000084-01,BK-000084,ADT,F,42,Omani,0
P-000084-02,BK-000084,ADT,F,29,Saudi,0
P-000084-03,BK-000084,INF,F,0,Kuwaiti,0
P-000085-01,BK-000085,ADT,F,37,Emirati,0
P-000085-02,BK-000085,INF,F,0,Qatari,0
P-000086-01,BK-000086,ADT,M,63,Omani,0
P-000087-01,BK-000087,ADT,M,35,Omani,0
P-000087-02,BK-000087,ADT,M,61,Omani,0
P-000087-03,BK-000087,ADT,M,51,Pakistani,0
P-000087-04,BK-000087,ADT,F,47,Qatari,0
P-000087-05,BK-000087,CHD,F,10,Kuwaiti,0
P-000088-01,BK-000088,ADT,F,18,Qatari,0
P-000088-02,BK-000088,ADT,M,51,Malaysian,0
P-000089-01,BK-000089,ADT,F,46,Emirati,0
P-000089-02,BK-000089,CHD,M,5,Qatari,0
P-000090-01,BK-000090,ADT,F,61,Saudi,1
P-000090-02,BK-000090,ADT,M,29,British,1
P-000090-03,BK-000090,ADT,M,53,Qatari,0
P-000090-04,BK-000090,INF,M,1,Qatari,0
P-000091-01,BK-000091,ADT,F,20,Emirati,0
P-000091-02,BK-000091,ADT,F,54,Thai,0
P-000091-03,BK-000091,INF,F,0,Omani,0
P-000092-01,BK-000092,ADT,F,68,Qatari,0
P-000092-02,BK-000092,ADT,F,49,Bahraini,0
P-000092-03,BK-000092,ADT,M,35,Kuwaiti,0
P-000092-04,BK-000092,ADT,M,32,Saudi,0
P-000093-01,BK-000093,ADT,M,27,Sri Lankan,0
P-000093-02,BK-000093,CHD,F,4,Emirati,0
P-000093-03,BK-000093,CHD,M,3,Emirati,0
P-000094-01,BK-000094,ADT,M,55,Bahraini,0
P-000094-02,BK-000094,ADT,M,26,Indian,1
P-000094-03,BK-000094,CHD,F,9,Omani,0
P-000094-04,BK-000094,INF,F,1,Emirati,0
P-000095-01,BK-000095,ADT,M,46,Saudi,0
P-000096-01,BK-000096,ADT,F,56,British,0
P-000097-01,BK-000097,ADT,F,36,Kuwaiti,0
P-000097-02,BK-000097,INF,F,0,Saudi,0
P-000098-01,BK-000098,ADT,F,60,Indian,1
P-000098-02,BK-000098,ADT,M,55,Emirati,1
P-000098-03,BK-000098,ADT,F,70,Sri Lankan,0
P-000098-04,BK-000098,ADT,F,33,Qatari,0
P-000099-01,BK-000099,ADT,M,38,Saudi,0
P-000099-02,BK-000099,CHD,F,8,Saudi,0
P-000099-03,BK-000099,INF,M,1,Nepali,0
P-000100-01,BK-000100,ADT,F,21,Saudi,1
P-000100-02,BK-000100,ADT,F,19,Qatari,0
P-000100-03,BK-000100,INF,M,1,Emirati,0
P-000101-01,BK-000101,ADT,M,30,Japanese,0
P-000102-01,BK-000102,ADT,F,19,Emirati,0
P-000102-02,BK-000102,ADT,M,54,Emirati,0
P-000103-01,BK-000103,ADT,M,55,Kuwaiti,0
P-000103-02,BK-000103,ADT,F,60,Qatari,0
P-000103-03,BK-000103,ADT,F,24,Saudi,0
P-000103-04,BK-000103,ADT,F,35,Saudi,0
P-000103-05,BK-000103,CHD,M,6,Bahraini,0
P-000104-01,BK-000104,ADT,M,36,Indonesian,0
P-000104-02,BK-000104,ADT,M,34,Italian,1
P-000104-03,BK-000104,ADT,F,32,French,1
P-000104-04,BK-000104,ADT,F,37,Italian,0
P-000105-01,BK-000105,ADT,M,38,Saudi,0
P-000106-01,BK-000106,ADT,M,58,Emirati,1
P-000106-02,BK-000106,ADT,F,40,Bahraini,0
P-000106-03,BK-000106,ADT,F,50,Omani,0
P-000106-04,BK-000106,ADT,F,20,Qatari,0
P-000106-05,BK-000106,ADT,F,51,Indian,1
P-000106-06,BK-000106,ADT,F,26,Sri Lankan,0
P-000107-01,BK-000107,ADT,M,42,Iraqi,0
P-000108-01,BK-000108,ADT,F,63,Ethiopian,0
P-000109-01,BK-000109,ADT,F,41,French,1
P-000109-02,BK-000109,ADT,M,24,Kuwaiti,1
P-000110-01,BK-000110,ADT,M,26,Omani,0
P-000110-02,BK-000110,ADT,F,55,Saudi,0
P-000110-03,BK-000110,ADT,F,42,Kuwaiti,1
P-000111-01,BK-000111,ADT,F,60,Bahraini,1
P-000111-02,BK-000111,ADT,M,53,Kuwaiti,0
P-000111-03,BK-000111,CHD,F,4,Turkish,0
P-000112-01,BK-000112,ADT,M,70,Qatari,1
P-000112-02,BK-000112,ADT,M,53,Bangladeshi,1
P-000112-03,BK-000112,ADT,M,41,Emirati,1
P-000112-04,BK-000112,ADT,F,39,Omani,1
P-000112-05,BK-000112,ADT,M,25,Emirati,0
P-000112-06,BK-000112,ADT,F,40,Nepali,0
P-000113-01,BK-000113,ADT,M,60,Iraqi,0
P-000113-02,BK-000113,CHD,F,2,Iraqi,0
P-000114-01,BK-000114,ADT,F,56,Spanish,1
P-000114-02,BK-000114,ADT,M,63,Kuwaiti,0
P-000115-01,BK-000115,ADT,F,19,Bahraini,0
P-000115-02,BK-000115,ADT,M,21,Saudi,1
P-000115-03,BK-000115,ADT,F,28,Saudi,0
P-000115-04,BK-000115,ADT,F,21,Kuwaiti,1
P-000115-05,BK-000115,ADT,F,20,Egyptian,0
P-000116-01,BK-000116,ADT,M,66,Australian,1
P-000117-01,BK-000117,ADT,M,51,Omani,0
P-000117-02,BK-000117,ADT,F,52,Saudi,0
P-000117-03,BK-000117,ADT,F,31,Bahraini,0
P-000118-01,BK-000118,ADT,F,46,French,0
P-000118-02,BK-000118,CHD,F,5,Bahraini,0
P-000118-03,BK-000118,CHD,M,3,Spanish,0
P-000119-01,BK-000119,ADT,M,54,Saudi,0
P-000119-02,BK-000119,ADT,F,46,Malaysian,0
P-000119-03,BK-000119,INF,M,0,Kuwaiti,0
P-000120-01,BK-000120,ADT,M,18,Qatari,0
P-000120-02,BK-000120,ADT,F,54,Saudi,0
P-000120-03,BK-000120,ADT,F,65,Kuwaiti,0
P-000120-04,BK-000120,CHD,M,10,Omani,0
P-000121-01,BK-000121,ADT,F,39,Omani,0
P-000122-01,BK-000122,ADT,M,52,Bahraini,1
P-000122-02,BK-000122,INF,M,1,Korean,0
P-000123-01,BK-000123,ADT,M,46,Spanish,0
P-000123-02,BK-000123,ADT,M,54,Qatari,1
P-000124-01,BK-000124,ADT,F,51,French,1
P-000124-02,BK-000124,INF,F,0,Jordanian,0
P-000125-01,BK-000125,ADT,M,20,Omani,0
P-000125-02,BK-000125,ADT,M,50,Bahraini,0
P-000126-01,BK-000126,ADT,F,64,Egyptian,0
P-000126-02,BK-000126,ADT,M,22,Jordanian,0
P-000126-03,BK-000126,ADT,M,24,Kuwaiti,0
P-000126-04,BK-000126,INF,F,1,Bahraini,0
P-000127-01,BK-000127,ADT,M,40,Kuwaiti,0
P-000127-02,BK-000127,CHD,M,9,Brazilian,0
P-000128-01,BK-000128,ADT,F,37,British,1
P-000128-02,BK-000128,CHD,M,3,German,0
P-000129-01,BK-000129,ADT,M,63,Omani,0
P-000130-01,BK-000130,ADT,M,55,Nepali,0
P-000131-01,BK-000131,ADT,F,62,Pakistani,0
P-000131-02,BK-000131,CHD,F,5,Bangladeshi,0
P-000132-01,BK-000132,ADT,M,40,Korean,0
P-000132-02,BK-000132,ADT,M,29,Emirati,1
P-000132-03,BK-000132,CHD,M,5,Japanese,0
P-000133-01,BK-000133,ADT,F,51,Sri Lankan,1
P-000134-01,BK-000134,ADT,M,54,Qatari,1
P-000134-02,BK-000134,ADT,M,69,Indian,1
P-000134-03,BK-000134,INF,M,0,Sri Lankan,0
P-000134-04,BK-000134,INF,M,1,Indian,0
P-000135-01,BK-000135,ADT,F,53,Omani,0
P-000135-02,BK-000135,CHD,F,3,Kuwaiti,0
P-000136-01,BK-000136,ADT,F,38,Omani,0
P-000136-02,BK-000136,ADT,F,59,Bahraini,1
P-000136-03,BK-000136,ADT,F,67,Omani,0
P-000137-01,BK-000137,ADT,F,59,Qatari,0
P-000138-01,BK-000138,ADT,F,45,Omani,0
P-000138-02,BK-000138,CHD,M,5,Bangladeshi,0
P-000138-03,BK-000138,CHD,F,6,Indian,0
P-000139-01,BK-000139,ADT,F,28,Jordanian,0
P-000140-01,BK-000140,ADT,M,64,Emirati,0
P-000141-01,BK-000141,ADT,F,42,Emirati,1
P-000142-01,BK-000142,ADT,M,38,Omani,1
P-000142-02,BK-000142,ADT,M,55,Pakistani,1
P-000143-01,BK-000143,ADT,M,64,Kuwaiti,1
P-000144-01,BK-000144,ADT,M,64,Jordanian,0
P-000145-01,BK-000145,ADT,M,32,Kuwaiti,1
P-000145-02,BK-000145,ADT,F,31,Saudi,0
P-000146-01,BK-000146,ADT,M,65,Nepali,0
P-000147-01,BK-000147,ADT,M,54,Kuwaiti,1
P-000147-02,BK-000147,INF,F,1,Omani,0
P-000148-01,BK-000148,ADT,F,69,Lebanese,0
P-000148-02,BK-000148,ADT,M,54,Kenyan,0
P-000149-01,BK-000149,ADT,F,58,Emirati,0
P-000149-02,BK-000149,ADT,F,20,Bahraini,0
P-000149-03,BK-000149,ADT,M,62,Bahraini,0
P-000149-04,BK-000149,ADT,F,64,Bangladeshi,1
P-000150-01,BK-000150,ADT,F,35,Bahraini,1
P-000150-02,BK-000150,ADT,M,54,Qatari,1
P-000150-03,BK-000150,ADT,F,45,Omani,0
P-000151-01,BK-000151,ADT,M,39,Qatari,0
P-000152-01,BK-000152,ADT,F,19,Pakistani,0
P-000152-02,BK-000152,INF,M,0,Bahraini,0
P-000153-01,BK-000153,ADT,M,70,Omani,1
P-000154-01,BK-000154,ADT,M,37,Kuwaiti,1
P-000155-01,BK-000155,ADT,M,24,Saudi,0
P-000155-02,BK-000155,ADT,F,57,Qatari,0
P-000155-03,BK-000155,ADT,M,32,Qatari,1
P-000156-01,BK-000156,ADT,F,29,Sri Lankan,1
P-000156-02,BK-000156,ADT,M,47,Indian,0
P-000156-03,BK-000156,ADT,F,20,Bahraini,0
P-000156-04,BK-000156,ADT,M,65,Nepali,0
P-000156-05,BK-000156,ADT,M,47,Emirati,0
P-000156-06,BK-000156,ADT,M,43,Pakistani,0
P-000157-01,BK-000157,ADT,F,44,Emirati,0
P-000158-01,BK-000158,ADT,F,53,Emirati,1
P-000158-02,BK-000158,ADT,M,39,Omani,1
P-000159-01,BK-000159,ADT,F,33,Kuwaiti,0
P-000160-01,BK-000160,ADT,F,67,Bahraini,0
P-000160-02,BK-000160,ADT,M,42,French,1
P-000160-03,BK-000160,ADT,F,22,Turkish,0
P-000161-01,BK-000161,ADT,F,58,Iraqi,1
P-000161-02,BK-000161,ADT,M,57,Qatari,1
P-000161-03,BK-000161,ADT,M,18,Kuwaiti,0
P-000161-04,BK-000161,ADT,M,68,Kuwaiti,1
P-000161-05,BK-000161,CHD,F,8,Emirati,0
P-000161-06,BK-000161,CHD,F,7,Kuwaiti,0
P-000162-01,BK-000162,ADT,F,71,Bahraini,0
P-000162-02,BK-000162,INF,F,0,Omani,0
P-000163-01,BK-000163,ADT,F,39,Nepali,0
P-000163-02,BK-000163,ADT,M,38,Qatari,1
P-000163-03,BK-000163,ADT,M,51,Kuwaiti,1
P-000163-04,BK-000163,ADT,F,47,Nepali,0
P-000164-01,BK-000164,ADT,M,57,Kuwaiti,0
P-000164-02,BK-000164,ADT,F,53,Saudi,0
P-000164-03,BK-000164,ADT,F,63,Emirati,0
P-000164-04,BK-000164,ADT,F,37,Bangladeshi,0
P-000165-01,BK-000165,ADT,F,23,Qatari,0
P-000165-02,BK-000165,ADT,F,61,Qatari,0
P-000165-03,BK-000165,ADT,M,32,Saudi,1
P-000165-04,BK-000165,INF,F,0,Bahraini,0
P-000166-01,BK-000166,ADT,F,22,Kuwaiti,1
P-000166-02,BK-000166,CHD,F,11,French,0
P-000167-01,BK-000167,ADT,M,21,Kuwaiti,1
P-000167-02,BK-000167,CHD,M,11,Bahraini,0
P-000167-03,BK-000167,CHD,F,4,Qatari,0
P-000168-01,BK-000168,ADT,F,63,Emirati,1
P-000168-02,BK-000168,ADT,M,19,Kuwaiti,1
P-000169-01,BK-000169,ADT,M,57,Bangladeshi,0
P-000169-02,BK-000169,ADT,F,53,Pakistani,0
P-000169-03,BK-000169,ADT,F,29,Kuwaiti,0
P-000169-04,BK-000169,ADT,M,72,Nepali,0
P-000169-05,BK-000169,ADT,F,52,Emirati,1
P-000169-06,BK-000169,CHD,F,11,Omani,0
P-000170-01,BK-000170,ADT,F,54,French,0
P-000170-02,BK-000170,CHD,F,6,Omani,0
P-000170-03,BK-000170,INF,F,0,Saudi,0
P-000171-01,BK-000171,ADT,M,41,Saudi,1
P-000171-02,BK-000171,ADT,F,33,Omani,1
P-000172-01,BK-000172,ADT,M,65,British,1
P-000172-02,BK-000172,ADT,F,42,Saudi,0
P-000172-03,BK-000172,ADT,M,45,Qatari,1
P-000172-04,BK-000172,CHD,F,9,Bahraini,0
P-000173-01,BK-000173,ADT,M,53,Kuwaiti,1
P-000173-02,BK-000173,ADT,F,18,Qatari,0
P-000173-03,BK-000173,ADT,F,61,Omani,0
P-000174-01,BK-000174,ADT,F,34,Bangladeshi,1
P-000174-02,BK-000174,ADT,F,22,Saudi,1
P-000174-03,BK-000174,ADT,F,62,Saudi,0
P-000174-04,BK-000174,ADT,F,22,Emirati,0
P-000175-01,BK-000175,ADT,F,62,British,0
P-000175-02,BK-000175,INF,F,1,Turkish,0
P-000176-01,BK-000176,ADT,F,71,Turkish,0
P-000176-02,BK-000176,ADT,M,29,Kuwaiti,1
P-000176-03,BK-000176,ADT,F,37,Turkish,0
P-000176-04,BK-000176,ADT,F,40,German,1
P-000176-05,BK-000176,ADT,M,46,Italian,0
P-000176-06,BK-000176,INF,M,0,Qatari,0
P-000177-01,BK-000177,ADT,M,48,South African,1
P-000177-02,BK-000177,INF,M,0,German,0
P-000177-03,BK-000177,INF,F,0,Spanish,0
P-000178-01,BK-000178,ADT,M,55,Bahraini,0
P-000178-02,BK-000178,ADT,M,35,Emirati,0
P-000178-03,BK-000178,ADT,M,41,Saudi,0
P-000179-01,BK-000179,ADT,F,63,Saudi,0
P-000179-02,BK-000179,ADT,F,68,Omani,0
P-000180-01,BK-000180,ADT,M,24,German,0
P-000180-02,BK-000180,INF,F,1,German,0
P-000181-01,BK-000181,ADT,F,31,Omani,0
P-000181-02,BK-000181,INF,M,0,Omani,0
P-000182-01,BK-000182,ADT,F,18,Emirati,0
P-000182-02,BK-000182,CHD,M,8,Bahraini,0
P-000183-01,BK-000183,ADT,F,19,Italian,0
P-000183-02,BK-000183,ADT,F,63,Turkish,1
P-000183-03,BK-000183,ADT,F,19,French,1
P-000184-01,BK-000184,ADT,M,21,Kuwaiti,0
P-000184-02,BK-000184,ADT,M,57,Omani,0
P-000184-03,BK-000184,ADT,M,59,Saudi,1
P-000184-04,BK-000184,ADT,M,31,Omani,0
P-000185-01,BK-000185,ADT,F,57,Saudi,0
P-000185-02,BK-000185,ADT,M,47,Saudi,0
P-000185-03,BK-000185,ADT,F,29,Saudi,0
P-000185-04,BK-000185,CHD,M,6,Bahraini,0
