booking_id,booking_date,travel_date,channel,trip_type,cabin,airline,origin,destination,route_band,pax_count,base_fare_usd,taxes_usd,total_usd,cost_usd,profit_usd,booking_status,cancel_reason,lead_time_days,season
BK-000043,2024-03-25,2024-05-24,Online,One-way,PremiumEconomy,JQ,MEL,MCT,VeryLong,2,5859.58,1154.54,7014.12,6533.7,480.42,Ticketed,,60,Spring
BK-000044,2022-02-22,2022-04-22,WhatsApp,One-way,Economy,KU,KWI,EVN,Medium,1,399.31,83.56,482.87,414.54,68.33,Ticketed,,59,Spring
BK-000045,2025-11-29,2025-12-25,Online,One-way,Business,NH,KWI,TPE,VeryLong,1,2936.08,321.52,3257.6,3180.25,77.35,Ticketed,,26,Winter
BK-000046,2017-09-13,2017-10-30,Online,Round-trip,Economy,RJ,KWI,BSR,Medium,2,444.34,79.86,524.2,530.5,-6.3,Ticketed,,47,Autumn
BK-000047,2019-10-07,2019-11-02,WhatsApp,Round-trip,PremiumEconomy,KE,ICN,ATH,Long,4,2583.28,400.21,2983.49,2889.14,94.35,Cancelled,Personal reason,26,Autumn
BK-000048,2019-09-23,2019-10-14,Online,Round-trip,Economy,FZ,SHJ,FCO,Long,3,1716.18,234.74,1950.92,1762.56,188.36,Ticketed,,21,Autumn
BK-000049,2023-08-13,2023-08-16,Online,Round-trip,Economy,KU,KWI,MXP,Long,5,5555.8,803.6,6359.4,5531.1,828.3,Ticketed,,3,Summer
BK-000050,2023-06-27,2023-08-25,WhatsApp,One-way,Economy,W6,KWI,VIE,Long,2,1313.36,166.68,1480.04,1218.25,261.79,Ticketed,,59,Summer
BK-000051,2024-10-21,2024-10-28,Phone,Round-trip,Economy,EK,BAH,SKT,Medium,1,505.92,109.25,615.17,577.74,37.43,Ticketed,,7,Autumn
BK-000052,2018-04-11,2018-06-01,WhatsApp,One-way,Economy,GF,KWI,BGW,Medium,1,432.48,77.43,509.91,448.04,61.87,Ticketed,,51,Summer
BK-000053,2022-05-29,2022-07-20,Online,One-way,Business,KU,KWI,AMM,Medium,2,1578.54,196.5,1775.04,1602.15,172.89,Ticketed,,52,Summer
BK-000054,2019-07-16,2019-10-03,Walk-in,Multi-city,Business,UA,ORD,KUL,Long,2,4331.74,692.43,5024.17,4849.36,174.81,Cancelled,Changed plans,79,Autumn
BK-000055,2020-01-27,2020-03-12,Online,Round-trip,Economy,GF,KWI,SIN,Long,1,876.28,190.16,1066.44,1010.22,56.22,Ticketed,,45,Spring
BK-000056,2017-11-07,2018-01-30,Online,Multi-city,Economy,EY,KWI,AMS,Long,2,2068.7,333.4,2402.1,2227.06,175.04,Ticketed,,84,Winter
BK-000057,2018-01-17,2018-03-03,WhatsApp,One-way,Economy,KU,KWI,RUH,Short,3,495.93,77.66,573.59,488.61,84.98,Ticketed,,45,Spring
BK-000058,2018-11-09,2018-12-16,Phone,One-way,Economy,AZ,FRA,HAN,Long,2,1873.4,295.2,2168.6,1978.41,190.19,Ticketed,,37,Winter
BK-000059,2022-04-20,2022-05-06,WhatsApp,Multi-city,PremiumEconomy,KU,KWI,MXP,Long,3,3447.42,564.43,4011.85,3594.74,417.11,Cancelled,Changed plans,16,Spring
BK-000060,2025-07-23,2025-09-29,Online,Round-trip,Business,PK,KWI,BOM,Medium,5,6875.6,963.99,7839.59,7326.78,512.81,Ticketed,,68,Autumn
BK-000061,2015-05-14,2015-06-12,Walk-in,One-way,Economy,EK,KWI,SAW,Long,1,823.6,148.36,971.96,906.13,65.83,Pending,,29,Summer
BK-000062,2024-11-06,2024-12-05,WhatsApp,Multi-city,Business,RJ,BGW,HAN,Long,2,4461.42,639.83,5101.25,4271.68,829.57,Cancelled,Airline cancelled,29,Winter
BK-000063,2024-04-21,2024-06-06,Online,One-way,Economy,AI,BLR,PER,Long,1,594.03,69.06,663.09,593.65,69.44,Ticketed,,46,Summer
BK-000064,2017-04-02,2017-08-11,Walk-in,One-way,First,EK,ISB,PER,Long,2,9612.3,1398.72,11011.02,10810.3,200.72,Ticketed,,131,Summer
BK-000065,2024-01-23,2024-02-23,Online,One-way,Business,XY,KWI,CAI,Medium,3,3315.78,458.47,3774.25,3413.57,360.68,Ticketed,,31,Winter
BK-000066,2019-12-23,2020-01-24,Online,One-way,Business,KU,KWI,HKG,VeryLong,5,19680.85,3296.27,22977.12,18996.68,3980.44,Ticketed,,32,Winter
BK-000067,2025-03-02,2025-05-04,Corporate,Multi-city,PremiumEconomy,WY,MCT,ALG,Long,2,1850.88,264.88,2115.76,2063.02,52.74,Ticketed,,63,Spring
BK-000068,2018-06-18,2018-07-06,WhatsApp,One-way,Economy,XY,MAD,MCT,Long,2,2155.06,259.01,2414.07,2083.48,330.59,Ticketed,,18,Summer
BK-000069,2015-04-22,2015-05-31,Online,Round-trip,PremiumEconomy,KU,DMM,LHR,Long,2,3132.78,319.57,3452.35,3032.34,420.01,Ticketed,,39,Spring
BK-000070,2021-10-17,2021-11-05,WhatsApp,One-way,Business,SV,KWI,SYD,VeryLong,2,9064.78,1424.26,10489.04,9401.15,1087.89,Ticketed,,19,Autumn
BK-000071,2025-02-08,2025-04-05,Online,Round-trip,PremiumEconomy,SV,KWI,PEK,VeryLong,4,7597.04,1409.44,9006.48,8523.35,483.13,Cancelled,Visa denied,56,Spring
BK-000072,2020-06-16,2020-06-19,Online,Multi-city,Economy,EY,KWI,LAX,VeryLong,3,5962.53,657.57,6620.1,5958.69,661.41,Ticketed,,3,Summer
BK-000073,2022-02-17,2022-04-05,Corporate,Round-trip,Economy,KU,KWI,HAN,Long,6,6201.9,1045.86,7247.76,7207.08,40.68,Ticketed,,47,Spring
BK-000074,2020-06-12,2020-07-05,WhatsApp,Round-trip,Economy,EK,KWI,MCT,Short,3,298.08,50.99,349.07,319.54,29.53,Pending,,23,Summer
BK-000075,2022-10-26,2022-11-26,WhatsApp,Multi-city,PremiumEconomy,AK,KWI,SIN,Long,5,6525.4,738.18,7263.58,7102.85,160.73,Ticketed,,31,Autumn
BK-000076,2021-12-23,2022-01-27,Online,One-way,PremiumEconomy,G9,KWI,AUH,Short,3,1142.82,185.04,1327.86,1213.8,114.06,Ticketed,,35,Winter
BK-000077,2024-02-02,2024-03-18,Corporate,Round-trip,Economy,SV,KWI,MAA,Medium,6,2674.74,368.07,3042.81,2885.76,157.05,Ticketed,,45,Spring
BK-000078,2024-07-15,2024-10-25,WhatsApp,Round-trip,PremiumEconomy,EK,KWI,NRT,VeryLong,1,1092.27,208.98,1301.25,1260.47,40.78,Ticketed,,102,Autumn
BK-000079,2024-08-13,2024-09-25,Phone,One-way,Business,KQ,FRA,NBO,Long,4,6422.0,709.23,7131.23,6049.34,1081.89,Cancelled,Personal reason,43,Autumn
BK-000080,2024-02-18,2024-03-01,Corporate,Round-trip,Economy,KU,KWI,VIE,Long,3,2174.13,433.56,2607.69,2268.93,338.76,Ticketed,,12,Spring
BK-000081,2019-02-02,2019-04-12,Walk-in,Multi-city,Business,SV,KWI,JED,Short,1,484.52,98.01,582.53,503.57,78.96,Ticketed,,69,Spring
BK-000082,2018-02-12,2018-03-13,Phone,One-way,Economy,IB,KWI,IST,Long,3,3269.82,327.41,3597.23,3344.96,252.27,Pending,,29,Spring
BK-000083,2023-12-13,2023-12-25,WhatsApp,One-way,PremiumEconomy,KU,KWI,ZRH,Long,3,6373.95,975.76,7349.71,7234.9,114.81,Ticketed,,12,Winter
BK-000084,2025-06-04,2025-06-21,WhatsApp,One-way,Economy,SV,RUH,BEY,Medium,3,899.61,146.99,1046.6,863.11,183.49,Ticketed,,17,Summer
BK-000085,2023-12-31,2024-02-08,Walk-in,Round-trip,Economy,GF,KWI,SAW,Long,2,1557.84,193.77,1751.61,1506.92,244.69,Ticketed,,39,Winter
BK-000086,2024-03-11,2024-05-08,Online,Multi-city,Economy,XY,EVN,AUH,Medium,1,369.88,76.93,446.81,428.78,18.03,Ticketed,,58,Spring
BK-000087,2022-01-02,2022-01-06,Corporate,One-way,Economy,KU,KWI,SKT,Medium,5,2355.75,444.95,2800.7,2638.07,162.63,Ticketed,,4,Winter
BK-000088,2018-08-26,2018-09-23,Phone,Multi-city,Business,WY,SHJ,KUL,Long,2,2265.0,289.83,2554.83,2445.61,109.22,Ticketed,,28,Autumn
BK-000089,2021-02-13,2021-03-31,WhatsApp,Round-trip,Economy,KU,KWI,MAA,Medium,2,689.42,95.0,784.42,676.04,108.38,Ticketed,,46,Spring
BK-000090,2021-06-07,2021-07-13,Corporate,One-way,Business,KU,KWI,MXP,Long,4,7767.4,914.99,8682.39,7646.21,1036.18,Ticketed,,36,Summer
BK-000091,2024-07-24,2024-08-22,WhatsApp,Round-trip,Economy,EY,KWI,BKK,Long,3,1615.29,318.4,1933.69,1954.35,-20.66,Ticketed,,29,Summer
BK-000092,2023-05-06,2023-06-27,Walk-in,Round-trip,Economy,KU,KWI,MCT,Short,4,757.0,98.33,855.33,702.43,152.9,Ticketed,,52,Summer
BK-000093,2016-04-22,2016-06-06,Phone,One-way,Business,SV,DMM,HYD,Medium,3,4808.88,1008.31,5817.19,5957.25,-140.06,Ticketed,,45,Summer
BK-000094,2018-03-08,2018-04-03,Online,Round-trip,Business,KU,KWI,PEW,Medium,4,6269.16,1274.4,7543.56,6248.2,1295.36,Ticketed,,26,Spring
BK-000095,2025-10-18,2025-10-21,WhatsApp,Multi-city,First,KU,KWI,MAD,Long,1,3990.26,565.09,4555.35,4386.35,169.0,Ticketed,,3,Autumn
BK-000096,2024-10-22,2024-12-13,WhatsApp,One-way,Economy,OS,CDG,BOM,Long,1,559.36,81.14,640.5,561.26,79.24,Ticketed,,52,Winter
BK-000097,2019-04-16,2019-07-31,Walk-in,Round-trip,Business,KU,KWI,SAW,Long,2,3283.42,544.91,3828.33,3548.48,279.85,Cancelled,Price issue,106,Summer
BK-000098,2018-02-16,2018-04-09,Walk-in,One-way,Economy,6E,KWI,CMB,Medium,4,1421.44,238.39,1659.83,1656.95,2.88,Ticketed,,52,Spring
BK-000099,2017-03-03,2017-06-08,Walk-in,Multi-city,Economy,BG,KWI,LHE,Medium,3,844.05,104.86,948.91,813.46,135.45,Pending,,97,Summer
BK-000100,2025-10-02,2025-12-23,Corporate,One-way,PremiumEconomy,KU,KWI,BGW,Medium,3,1300.29,236.26,1536.55,1453.02,83.53,Ticketed,,82,Winter
BK-000101,2021-11-06,2021-12-28,Online,One-way,Business,NH,SHJ,PEK,VeryLong,1,3896.17,721.37,4617.54,4364.91,252.63,Ticketed,,52,Winter
BK-000102,2022-07-23,2022-09-12,Online,One-way,Economy,PK,KWI,SKT,Medium,2,969.5,115.97,1085.47,914.14,171.33,Ticketed,,51,Autumn
BK-000103,2015-08-31,2015-11-27,WhatsApp,Round-trip,Economy,FZ,KWI,SIN,Long,5,2963.8,599.25,3563.05,3326.5,236.55,Ticketed,,88,Autumn
BK-000104,2018-08-03,2018-09-03,Corporate,Round-trip,First,GF,MAD,KUL,Long,4,16088.8,3359.07,19447.87,17287.36,2160.51,Ticketed,,31,Autumn
BK-000105,2016-08-29,2016-11-21,WhatsApp,Round-trip,Economy,KU,KWI,SKT,Medium,1,304.95,45.47,350.42,319.03,31.39,Ticketed,,84,Autumn
BK-000106,2022-02-15,2022-02-26,Walk-in,Round-trip,Economy,GF,KWI,BLR,Medium,6,3253.56,673.62,3927.18,3420.82,506.36,Ticketed,,11,Winter
BK-000107,2023-09-16,2023-09-30,Online,Round-trip,Economy,IA,TBS,MNL,Long,1,854.84,96.57,951.41,812.9,138.51,Cancelled,Schedule change,14,Autumn
BK-000108,2016-12-05,2017-01-14,WhatsApp,Round-trip,Economy,SA,JNB,BKK,Long,1,446.91,55.34,502.25,496.25,6.0,Ticketed,,40,Winter
BK-000109,2016-02-26,2016-05-11,WhatsApp,One-way,Economy,KU,KWI,CDG,Long,2,2159.8,469.27,2629.07,2562.12,66.95,Cancelled,Visa denied,75,Spring
BK-000110,2025-11-15,2025-12-06,Corporate,One-way,Economy,SV,KWI,DMM,Short,3,666.21,104.85,771.06,725.9,45.16,Ticketed,,21,Winter
BK-000111,2018-12-02,2018-12-26,WhatsApp,Round-trip,Business,FZ,KWI,ZRH,Long,3,8124.39,1415.18,9539.57,8958.63,580.94,Ticketed,,24,Winter
BK-000112,2022-11-26,2022-12-25,Corporate,One-way,Economy,PK,KWI,CMB,Medium,6,2258.52,427.83,2686.35,2756.92,-70.57,Ticketed,,29,Winter
BK-000113,2024-07-28,2024-08-06,WhatsApp,One-way,Business,FZ,KWI,TLV,Medium,2,1021.04,215.64,1236.68,1056.29,180.39,Ticketed,,9,Summer
BK-000114,2016-07-17,2016-09-08,WhatsApp,One-way,Business,GF,KWI,VIE,Long,2,4051.12,571.79,4622.91,4476.01,146.9,Ticketed,,53,Autumn
BK-000115,2025-04-02,2025-05-11,WhatsApp,One-way,Economy,IA,KWI,BSR,Medium,5,1761.35,288.98,2050.33,1734.03,316.3,Ticketed,,39,Spring
BK-000116,2022-12-23,2023-01-14,WhatsApp,Multi-city,Economy,AF,SAW,SYD,Long,1,982.12,200.61,1182.73,1004.5,178.23,Ticketed,,22,Winter
BK-000117,2017-10-27,2018-01-11,Online,Round-trip,Business,EY,KWI,NBO,Long,3,5412.39,773.81,6186.2,5353.25,832.95,Ticketed,,76,Winter
BK-000118,2023-06-27,2023-07-31,Phone,Round-trip,PremiumEconomy,EK,FCO,DXB,Long,3,3508.47,361.25,3869.72,3565.78,303.94,Ticketed,,34,Summer
BK-000119,2025-02-23,2025-03-12,Corporate,Round-trip,Business,KU,KWI,BKK,Long,3,3499.68,365.88,3865.56,3922.07,-56.51,Ticketed,,17,Spring
BK-000120,2019-11-07,2019-11-15,Corporate,Round-trip,Economy,QR,DMM,DEL,Medium,4,2194.8,443.21,2638.01,2553.74,84.27,Ticketed,,8,Autumn
BK-000121,2021-11-27,2022-01-09,Online,One-way,Economy,EK,DMM,ORD,VeryLong,1,1974.07,264.95,2239.02,2273.37,-34.35,Ticketed,,43,Winter
BK-000122,2018-04-24,2018-06-22,WhatsApp,One-way,Economy,CA,BAH,NRT,VeryLong,2,1917.48,318.69,2236.17,2220.71,15.46,Ticketed,,59,Summer
BK-000123,2018-01-19,2018-03-03,WhatsApp,Multi-city,Economy,AZ,ZRH,SHJ,Long,2,1240.98,137.58,1378.56,1314.58,63.98,Cancelled,Personal reason,43,Spring
BK-000124,2015-11-29,2015-12-24,WhatsApp,Round-trip,Business,ME,EVN,MXP,Medium,2,2734.64,466.31,3200.95,2693.19,507.76,Cancelled,Medical issue,25,Winter
BK-000125,2018-03-18,2018-04-02,Online,Round-trip,Economy,XY,KWI,HAN,Long,2,1474.12,184.68,1658.8,1652.39,6.41,Ticketed,,15,Spring
BK-000126,2024-12-04,2025-02-15,Phone,One-way,Economy,MS,KWI,TLV,Medium,4,1321.0,262.16,1583.16,1570.18,12.98,Ticketed,,73,Winter
BK-000127,2022-03-02,2022-03-10,WhatsApp,Multi-city,Economy,KU,KWI,GRU,VeryLong,2,3470.54,365.14,3835.68,3523.99,311.69,Ticketed,,8,Spring
BK-000128,2020-07-04,2020-07-13,Walk-in,Round-trip,Economy,KU,KWI,MXP,Long,2,2785.24,346.6,3131.84,2862.68,269.16,Cancelled,COVID restriction,9,Summer
BK-000129,2024-10-08,2024-11-26,WhatsApp,One-way,Economy,GA,AUH,CGK,Long,1,704.76,89.23,793.99,804.46,-10.47,Cancelled,Changed plans,49,Autumn
BK-000130,2019-04-10,2019-04-13,WhatsApp,Round-trip,Economy,6E,KWI,DEL,Medium,1,250.11,54.93,305.04,264.25,40.79,Ticketed,,3,Spring
BK-000131,2025-05-22,2025-06-09,Phone,Round-trip,Economy,FZ,KWI,BLR,Medium,2,946.9,133.32,1080.22,1086.08,-5.86,Ticketed,,18,Summer
BK-000132,2023-12-26,2024-01-13,Online,Multi-city,Economy,EK,KWI,PVG,VeryLong,3,2079.03,412.75,2491.78,2526.75,-34.97,Ticketed,,18,Winter
BK-000133,2022-11-11,2022-11-12,Corporate,Multi-city,Business,G9,KWI,HYD,Medium,1,1007.7,193.19,1200.89,1108.02,92.87,Ticketed,,1,Autumn
BK-000134,2023-05-13,2023-05-28,Online,One-way,First,SV,KWI,DAC,Medium,4,8352.76,1201.21,9553.97,9036.87,517.1,Ticketed,,15,Spring
BK-000135,2024-06-10,2024-08-17,Online,Round-trip,Economy,G9,KWI,LHR,Long,2,2464.88,432.79,2897.67,2710.86,186.81,Ticketed,,68,Summer
BK-000136,2022-09-07,2022-11-12,Walk-in,One-way,Economy,FZ,KWI,IAD,VeryLong,3,4724.73,701.97,5426.7,4555.79,870.91,Cancelled,Duplicate booking,66,Autumn
BK-000137,2017-05-01,2017-06-24,Phone,Round-trip,Economy,PK,KWI,KHI,Medium,1,469.37,69.3,538.67,468.29,70.38,Cancelled,Medical issue,54,Summer
BK-000138,2023-07-02,2023-09-18,Online,Round-trip,First,KU,KWI,CMB,Medium,3,9567.24,1159.97,10727.21,9702.84,1024.37,Ticketed,,78,Autumn
BK-000139,2021-10-01,2021-10-02,Phone,Multi-city,Economy,SV,KWI,CAI,Medium,1,219.36,31.77,251.13,236.95,14.18,Ticketed,,1,Autumn
BK-000140,2025-02-05,2025-02-20,Online,Round-trip,Economy,SV,KWI,IST,Long,1,517.46,84.97,602.43,596.98,5.45,Cancelled,Medical issue,15,Winter
BK-000141,2021-12-23,2022-03-01,Online,Round-trip,First,KU,KWI,BKK,Long,1,3645.51,732.69,4378.2,3758.15,620.05,Ticketed,,68,Spring
BK-000142,2025-06-09,2025-09-10,Online,Round-trip,Business,G9,KWI,CMB,Medium,2,2069.34,219.87,2289.21,2037.38,251.83,Ticketed,,93,Autumn
BK-000143,2016-12-17,2017-02-04,Phone,Multi-city,PremiumEconomy,LH,KWI,VIE,Long,1,1939.71,248.13,2187.84,1802.45,385.39,Ticketed,,49,Winter
BK-000144,2025-10-11,2025-10-24,WhatsApp,Round-trip,Business,PC,KWI,NJF,Medium,1,738.4,75.5,813.9,691.87,122.03,Ticketed,,13,Autumn
BK-000145,2023-02-04,2023-02-08,Phone,One-way,Economy,KU,KWI,LHE,Medium,2,1013.4,160.92,1174.32,1055.67,118.65,Ticketed,,4,Winter
BK-000146,2016-11-11,2016-12-02,Online,One-way,Economy,PK,DAR,PEW,Long,1,801.91,130.83,932.74,912.0,20.74,Ticketed,,21,Winter
BK-000147,2017-04-03,2017-05-16,WhatsApp,Round-trip,Economy,UA,KWI,ORD,VeryLong,2,4972.68,719.08,5691.76,4949.11,742.65,Ticketed,,43,Spring
BK-000148,2017-06-04,2017-06-05,Phone,One-way,Economy,IA,NJF,JNB,Long,2,764.16,89.11,853.27,813.09,40.18,Ticketed,,1,Summer
BK-000149,2024-02-18,2024-04-05,Online,Round-trip,Economy,G9,KWI,MUX,Medium,4,1556.68,233.47,1790.15,1517.61,272.54,Ticketed,,47,Spring
BK-000150,2023-01-26,2023-03-10,Online,One-way,Economy,QR,DOH,TLV,Medium,3,805.8,134.84,940.64,771.9,168.74,Ticketed,,43,Spring
BK-000151,2023-08-15,2023-10-04,Walk-in,Multi-city,Economy,GF,DOH,SGN,Long,1,478.66,102.37,581.03,485.38,95.65,Ticketed,,50,Autumn
BK-000152,2023-01-10,2023-02-08,Phone,Round-trip,Economy,GF,KWI,PEW,Medium,2,717.02,153.03,870.05,883.98,-13.93,Ticketed,,29,Winter
BK-000153,2015-01-21,2015-02-10,WhatsApp,One-way,Economy,KU,KWI,BAH,Short,1,186.29,40.5,226.79,209.72,17.07,Ticketed,,20,Winter
BK-000154,2022-12-14,2023-02-01,WhatsApp,One-way,Economy,G9,KWI,ADL,VeryLong,1,1691.13,301.52,1992.65,1809.29,183.36,Ticketed,,49,Winter
BK-000155,2022-09-30,2023-01-05,Online,One-way,Business,NH,BAH,NRT,VeryLong,3,7588.11,1507.03,9095.14,8151.63,943.51,Ticketed,,97,Winter
BK-000156,2021-12-31,2022-02-21,Online,One-way,Economy,KU,KWI,DAC,Medium,6,3721.02,471.48,4192.5,3727.21,465.29,Ticketed,,52,Winter
BK-000157,2021-03-27,2021-04-28,WhatsApp,One-way,Economy,SV,KWI,NRT,VeryLong,1,1322.65,255.86,1578.51,1314.98,263.53,Ticketed,,32,Spring
